idx,input_length,output_length,input_tokens,output_tokens,energy_kwh,carbon_kg
1154,47,46,33,11,0.000183,0.00013
1188,46,55,34,13,8.9e-05,6.4e-05
1070,70,72,37,17,0.000184,0.000131
1168,69,58,39,13,0.000184,0.000131
1072,96,94,39,22,0.000186,0.000133
1115,82,70,39,15,0.000186,0.000132
1071,76,132,40,31,0.000185,0.000132
1061,86,201,40,41,0.000186,0.000133
1178,71,38,41,9,0.000185,0.000132
1158,92,78,42,19,0.000148,0.000105
1074,85,173,43,41,0.000186,0.000133
1066,79,79,43,22,0.000185,0.000132
1174,89,89,44,23,0.000186,0.000133
1162,75,71,45,21,0.000185,0.000132
1156,117,72,45,16,0.000189,0.000135
1172,106,125,46,29,0.000187,0.000133
1064,108,108,46,25,0.000187,0.000134
1088,131,72,46,13,0.00019,0.000136
1062,113,117,47,27,0.000188,0.000134
1063,104,107,47,24,0.000121,8.7e-05
1065,146,169,48,33,0.000191,0.000136
1060,133,183,48,39,0.000189,0.000135
1068,116,134,49,32,0.000191,0.000136
1073,128,120,50,26,0.000189,0.000135
1090,127,135,51,31,0.000189,0.000135
1114,85,191,52,40,0.000186,0.000133
1171,115,51,52,14,0.00019,0.000136
1185,128,83,52,18,0.00019,0.000136
1157,130,140,53,34,0.000189,0.000135
1103,175,175,54,33,0.000193,0.000137
1183,129,129,55,34,0.00019,0.000135
1089,149,81,56,20,0.000191,0.000136
1069,166,166,57,36,0.000192,0.000137
1187,157,177,57,42,0.000192,0.000137
1165,147,69,58,21,0.000191,0.000136
1130,163,77,59,17,0.000192,0.000137
1125,195,195,60,39,0.000193,0.000138
1153,137,66,60,19,0.000191,0.000136
1095,145,126,62,31,0.000193,0.000138
1139,180,30,62,8,0.000193,0.000138
1197,182,112,63,23,0.000194,0.000138
1131,178,144,63,34,0.000196,0.00014
1136,192,191,63,41,0.000193,0.000138
1159,179,85,63,20,0.000111,7.9e-05
1082,202,198,63,41,0.000193,0.000138
1058,190,72,64,15,0.000194,0.000138
1111,177,184,65,41,0.000193,0.000138
1166,162,179,65,40,0.000193,0.000138
1167,177,133,65,31,0.000195,0.000139
1113,212,147,65,32,0.000195,0.000139
1050,218,146,66,35,0.000194,0.000138
1093,164,97,67,24,0.000193,0.000137
1177,229,198,69,41,0.000194,0.000139
1194,181,146,72,41,0.000197,0.00014
1135,217,187,73,41,0.000194,0.000139
1075,239,123,74,27,0.000197,0.000141
1160,234,154,76,35,0.000195,0.000139
1138,208,175,76,41,0.000194,0.000138
1181,237,169,77,41,0.000194,0.000139
1129,229,125,77,30,0.000194,0.000139
1143,227,91,79,22,0.000126,9e-05
1122,242,143,80,34,0.000194,0.000139
1097,233,160,80,41,0.000195,0.000139
1146,237,172,80,41,0.000197,0.000141
1105,232,160,82,40,0.000197,0.000141
1079,243,193,82,40,0.000194,0.000138
1106,261,148,84,41,0.000196,0.00014
1199,288,192,84,41,0.000195,0.000139
1117,296,203,84,42,0.000197,0.000141
1077,287,170,85,41,0.000197,0.00014
1180,281,183,85,41,0.000196,0.00014
1119,291,105,86,22,0.000195,0.000139
1083,303,206,87,40,0.000195,0.000139
1164,324,221,87,41,0.000197,0.000141
1096,306,196,88,41,0.000198,0.000142
1196,219,118,88,40,0.000195,0.000139
1053,271,194,89,42,0.000195,0.000139
1059,240,74,89,18,0.000195,0.000139
1145,222,70,90,21,0.000195,0.000139
1051,306,205,90,41,0.000197,0.000141
1184,313,170,91,41,0.000195,0.000139
1085,337,191,93,41,0.000198,0.000141
1109,276,46,94,14,0.000196,0.00014
1092,300,160,94,41,0.000196,0.00014
1120,317,169,96,41,0.000196,0.0
1099,305,182,96,41,0.000196,0.000139
1126,279,182,97,41,0.000196,0.00014
1128,308,164,97,41,0.000198,0.000141
1116,348,182,97,40,0.000198,0.000141
1081,438,211,100,41,0.000198,0.000141
1052,349,192,101,40,0.000198,0.000141
1067,319,181,102,41,0.000196,0.00014
1055,406,195,102,41,0.000197,0.000141
1176,373,196,104,41,0.000198,0.000141
1118,394,180,105,41,0.000198,0.000141
1186,350,160,105,41,0.000196,0.00014
1179,358,185,105,41,0.000196,0.00014
1124,355,181,105,41,0.000198,0.000141
1102,428,207,109,41,0.000198,0.000141
1189,406,182,109,41,0.000198,0.0
1098,372,150,110,41,0.000198,0.000141
1192,328,148,112,40,0.000197,0.00014
1163,348,197,113,41,0.000199,0.000142
1147,357,173,113,41,0.000196,0.00014
1190,308,115,114,40,0.000199,0.000142
1132,339,157,115,41,0.000197,0.00014
1087,411,180,116,40,0.000199,0.000142
1104,372,174,116,41,0.000196,0.00014
1094,403,198,116,40,0.000199,0.000142
1191,374,150,117,40,0.000195,0.000139
1134,456,195,118,41,0.000199,0.000142
1155,409,108,118,26,0.000145,0.000103
1110,436,163,121,41,0.000197,0.00014
1193,409,145,123,41,0.000197,0.00014
1137,405,157,124,41,0.000197,0.00014
1182,451,182,124,40,0.0002,0.000142
1198,468,162,132,41,0.000204,0.0
