idx,input_length,output_length,input_tokens,output_tokens,energy_kwh,carbon_kg
1188,46,179,37,39,0.000187,0.000133
1154,47,167,39,39,0.000176,0.000125
1070,70,86,40,19,0.000176,0.000125
1168,69,178,41,38,0.000177,0.000127
1072,96,96,42,19,0.000178,0.000127
1178,71,101,44,28,0.000176,0.000125
1115,82,168,44,39,0.000177,0.000126
1071,76,146,44,39,0.000179,0.000127
1061,86,181,45,40,0.000178,0.000127
1158,92,76,46,19,0.000178,0.000127
1066,79,129,47,30,0.000177,0.000126
1162,75,146,47,40,0.000176,0.000125
1174,89,157,47,39,0.000178,0.000127
1074,85,89,47,23,0.000177,0.000127
1064,108,153,49,38,0.000178,0.000127
1172,106,106,49,25,0.000178,0.000127
1156,117,140,51,32,0.000179,0.000128
1088,131,164,51,32,0.000179,0.000128
1060,133,148,52,39,0.000179,0.000128
1065,146,200,52,39,0.000179,0.000128
1068,116,155,53,39,0.000179,0.000128
1114,85,147,54,39,0.000178,0.000127
1063,104,170,54,39,0.000178,0.000127
1062,113,173,54,39,0.000179,0.000128
1073,128,113,55,30,0.000179,0.000128
1171,115,139,57,38,0.000179,0.000127
1090,127,154,57,39,0.000179,0.000128
1185,128,168,57,38,0.000179,0.000128
1157,130,153,58,39,0.000181,0.000129
1089,149,106,59,25,0.00018,0.000128
1103,175,137,60,25,0.00018,0.000128
1183,129,130,60,39,0.000179,0.000128
1187,157,170,63,38,0.00018,0.000128
1165,147,139,63,40,0.00018,0.000128
1095,145,156,64,35,0.000179,0.000128
1153,137,0,65,1,0.000182,0.00013
1125,195,152,65,35,0.000181,0.000129
1082,202,153,67,38,0.000181,0.000129
1166,162,171,69,39,0.00018,0.000129
1130,163,87,69,17,0.00018,0.000129
1069,166,114,69,39,0.00018,0.000128
1139,180,44,70,12,0.000181,0.000129
1197,182,31,71,9,0.000181,0.000129
1111,177,151,71,39,0.00018,0.000129
1159,179,160,71,39,0.000181,0.000129
1136,192,158,72,39,0.000183,0.000131
1167,177,161,72,39,0.000182,0.00013
1050,218,144,73,39,0.000181,0.000129
1058,190,184,74,39,0.000181,0.000129
1177,229,140,75,39,0.000181,0.000129
1093,164,174,75,40,0.000181,0.000129
1131,178,147,75,39,0.00018,0.000129
1113,212,159,78,39,0.000181,0.000129
1194,181,128,80,31,0.000183,0.000131
1160,234,140,80,39,0.000183,0.000131
1075,239,148,81,40,0.000181,0.000129
1135,217,134,83,39,0.000184,0.000131
1129,229,160,85,34,0.000184,0.000131
1143,227,154,85,39,0.000182,0.00013
1138,208,137,85,39,0.00018,0.000129
1105,232,57,86,11,0.000183,0.000131
1097,233,171,87,39,0.000181,0.000129
1181,237,173,87,41,0.000183,0.000131
1146,237,150,88,39,0.000181,0.000129
1117,296,173,91,39,0.000182,0.00013
1199,288,156,91,39,0.000181,0.000129
1122,242,103,92,29,0.000184,0.000131
1106,261,122,92,39,0.000183,0.000131
1083,303,187,93,39,0.000184,0.000131
1119,291,175,93,39,0.000181,0.000129
1180,281,156,93,39,0.000182,0.00013
1077,287,146,93,39,0.000182,0.00013
1079,243,119,96,39,0.000181,0.000129
1096,306,171,96,39,0.000182,0.00013
1196,219,107,97,39,0.000184,0.000131
1145,222,158,98,39,0.000182,0.00013
1184,313,151,98,36,0.000182,0.00013
1051,306,100,99,32,0.000184,0.000132
1164,324,120,99,26,0.000182,0.00013
1085,337,154,101,39,0.000183,0.00013
1092,300,48,102,14,0.000184,0.000131
1059,240,143,103,39,0.000182,0.00013
1053,271,142,103,39,0.000182,0.00013
1109,276,62,104,15,0.000185,0.000132
1126,279,24,104,8,0.000185,0.000132
1099,305,147,104,39,0.000185,0.000132
1116,348,153,105,39,0.000185,0.000132
1052,349,153,105,36,0.000184,0.000131
1067,319,163,107,39,0.000185,0.000132
1120,317,140,109,39,0.000185,0.000132
1179,358,153,110,39,0.000185,0.000132
