idx,input_length,output_length,input_tokens,output_tokens,energy_kwh,carbon_kg
1154,47,43,33,11,7.3e-05,5.2e-05
1188,46,50,34,10,0.000204,0.000146
1070,70,72,37,14,8.1e-05,5.8e-05
1168,69,56,39,9,6.8e-05,4.9e-05
1072,96,66,39,14,8.4e-05,6e-05
1071,76,81,40,18,9.7e-05,6.9e-05
1115,82,83,40,19,0.000103,7.3e-05
1178,71,68,41,16,9.2e-05,6.5e-05
1061,86,82,41,18,9.8e-05,7e-05
1158,92,57,42,13,7.9e-05,5.7e-05
1066,79,81,43,19,0.000102,7.3e-05
1174,89,60,44,10,6.9e-05,4.9e-05
1074,85,66,44,15,8.7e-05,6.2e-05
1162,75,56,45,13,7.9e-05,5.6e-05
1156,117,77,45,15,8.5e-05,6.1e-05
1172,106,66,46,11,7.2e-05,5.1e-05
1064,108,84,46,17,9.4e-05,6.7e-05
1088,131,94,46,15,9.1e-05,6.5e-05
1063,104,99,47,21,0.000109,7.7e-05
1060,133,112,48,25,0.000125,8.9e-05
1062,113,88,48,18,9.9e-05,7e-05
1065,146,148,48,25,0.000126,9e-05
1068,116,47,49,10,6.4e-05,4.6e-05
1073,128,100,50,18,9.9e-05,7e-05
1090,127,51,51,12,7.8e-05,5.5e-05
1114,85,70,52,20,0.000105,7.5e-05
1171,115,66,52,18,9.8e-05,7e-05
1185,128,45,52,11,7.2e-05,5.1e-05
1157,130,85,53,19,0.000104,7.4e-05
1103,175,77,54,13,7.8e-05,5.6e-05
1089,149,43,56,11,7.3e-05,5.2e-05
1183,129,68,56,20,0.000107,7.6e-05
1069,166,99,57,19,0.000105,7.5e-05
1187,157,111,57,21,0.00011,7.9e-05
1165,147,73,58,18,9.9e-05,7.1e-05
1130,163,107,59,21,0.00011,7.8e-05
1153,137,57,60,14,8.6e-05,6.1e-05
1125,195,82,61,21,0.000114,8.1e-05
1095,145,56,62,16,9.2e-05,6.5e-05
1139,180,54,62,14,8.6e-05,6.2e-05
1197,182,92,63,18,0.0001,7.1e-05
1082,202,70,63,13,8.2e-05,5.8e-05
1136,192,83,63,17,9.7e-05,6.9e-05
1159,179,103,63,21,0.000108,7.7e-05
1113,212,86,65,16,9.3e-05,6.7e-05
1167,177,119,65,28,0.000138,9.9e-05
1131,178,84,65,19,0.000106,7.5e-05
1111,177,70,65,15,9e-05,6.4e-05
1166,162,74,66,19,0.000108,7.7e-05
1050,218,113,67,28,0.000145,0.000104
