id,input_length,output_length,input_tokens,output_tokens,energy_kwh,carbon_kg
ff1a6ad0112f0b53088131486b47257883300594,5000,390,1264,100,0.000639,0.000456
bd39bb81dd6a98cc316104906dda9a3c43c90cce,5011,204,1294,56,0.000562,0.000401
ebc4f4933e26041284191b5f96dec894ba8f7c64,5022,346,1217,78,0.000553,0.000395
fb1117897822bddb6586aa283e4a67d82b507f3a,5027,450,1167,100,0.000548,0.000391
3c317de39a237d3c37b5b3f85c57a81b1a8f641d,5048,434,1208,100,0.000547,0.00039
3a1e0d107b1d59dc0ed9c6279a1be0f5e404e221,5070,238,1250,50,0.000566,0.000404
5b5348dd1467b4a3d06807a844f6c50547ad8449,5104,439,1201,100,0.00056,0.000399
a7dab93b6e6e2895bb4d485c0ab0476bf92e76f6,5112,346,1303,80,0.000582,0.000415
d8fbffc5ba638a17bab565436ae8b3f197d7eb53,5116,487,1362,100,0.000582,0.000416
6e201472a236b22d30cb06131da1c10d927d0cdf,5119,385,1312,100,0.000589,0.00042
ad607ef8e5ef919c3a9a2c66977c008612ce45c8,5121,420,1258,100,0.000577,1e-06
03a5b8b58dcdc144bcf065315ae26bdffcdf8489,5123,449,1195,100,0.000567,0.000405
bbefc5e66e787fdb7f9b07a11511d839ae8622f3,5127,430,1243,100,0.000578,0.000412
b93353a4ea2c5e16d06107c42ad4b2ef152a5ff9,5143,415,1311,100,0.000593,0.000423
af81854b1fa7e1f7f7b48fe3bee4bb8b5000adec,5157,398,1324,100,0.000596,0.000425
7527340583e3261412fba69d6cbfb69bd0f44e7c,5157,379,1267,100,0.000586,0.000418
e1735de4903e2fbcaf4324e4d6b470085e9e1123,5161,424,1191,100,0.000578,0.000413
0b39853937e80b8357c387f5ca0c0a9fd04bec54,5167,374,1322,100,0.000604,0.000431
8723319e2310adcae2eba891e544a5bf925bdcb8,5186,440,1231,100,0.000593,0.000423
d1817ab81ef20f2cbaa84918e259bc0fbdc1c917,5190,348,1380,100,0.000607,0.000433
14e61bdc3c0b9605a5cb69f0b8f867d5f115ab0d,5193,433,1206,100,0.000579,0.000413
3babc515cfdfa5c6c9f183a2faa31334c7110126,5193,436,1302,100,0.000605,0.000432
47b42b9c731ba78d9cc76424ede07fe82e477c81,5195,147,1301,42,0.000606,0.000432
c2e0aaceb071c07699718692ab681a59792c2d5a,5199,436,1309,100,0.000604,0.000431
c724517e8588a60f716d49e1fc9d2ff1ca764ebb,5208,389,1256,100,0.000592,0.000422
20adc6865b6c8ab3602f7ce902bbf9f032272e5b,5213,84,1185,18,0.000583,0.000416
f1e9c0436d8e610d311a00d403a6b9be418dda3c,5215,289,1230,67,0.000589,0.000421
766f281ccfb475b6f58e16ac28e33746b4581fb2,5234,142,1248,30,0.000596,0.000425
b57308492aee4ddde40d117af53c3bfa711de215,5243,398,1355,100,0.000608,0.000434
d1e1bfe41cc531019f0b85e0ebc5789673dbe21d,5254,420,1238,100,0.000594,0.000424
e7cf3fffdc93587e901c6499aaecffcf66f1a7ab,5273,476,1211,100,0.000586,0.000418
5c5ee76b04b25f0f36aaa802ef25fb39d38932c9,5280,460,1253,100,0.000597,0.000426
2c90c4b3461027f05e9dc73ace43f7026057b34c,5287,61,1337,12,0.000613,0.000437
326b9c501b6f7c77e1647faced6a868d09ddf451,5292,460,1335,100,0.000613,0.000437
94a2086707cf79ca326d032dad1e3570f9e2b38a,5308,398,1406,100,0.000615,0.000439
4beda1c7963944a3e42bd4982ebc591d1491c418,5311,487,1248,100,0.000596,0.000425
0d1d6284061a99cb2478ecb4b490e4605698ec3e,5328,382,1328,100,0.000611,0.000436
5a6c0fe6a8e12bad310bb4fa953d4f137d7016a0,5372,452,1344,100,0.000609,0.000435
67de0c6bffb4ddc96f224eee2e5157ab399751ec,5375,392,1408,100,0.000622,0.000444
fb61501f52e298631b96616e83d4657401abbc5f,5381,403,1399,100,0.000611,0.000436
9bf5a7e9f829938023daae1d5d369e4c4e30533b,5382,367,1434,100,0.000624,0.000445
f807b37c2481d4610cbae445a8693bcbd1a99a8b,5413,122,1380,30,0.00061,0.000435
077936616bddd81b17f243dda9ebd6e3e133e69f,5414,365,1314,100,0.000608,0.000434
e1f967ec14cb4f560c45573fe438a16760956478,5426,54,1293,11,0.000602,0.00043
8c2f38ff2f1e64fa49665feb36b57e3b2f100a7f,5426,256,1307,59,0.000605,0.000432
4fa6df0d0e7b79d885fb9195d584f1c14d4e0b22,5428,524,1363,100,0.000609,0.000434
ee2b8ad7cd909f1435505209192ef560577d2186,5451,440,1341,100,0.000612,0.000436
dddebc917835f31bb4ec4d7c99aa2f9db9ed420b,5452,210,1461,58,0.000626,0.000447
e90ddb6e9b9463f10182f6524bc2a7d2e8f3871b,5455,167,1425,38,0.000622,0.000444
48cc25d1b938315a08c984829a2c8cc6757e563a,5481,441,1359,100,0.000605,0.000431
f6de91625886294574af6e667cd2a5ad0936ac9a,5490,62,1347,16,0.000607,0.000433
729d329aee423fc6d0444ca55cdfb583907989c9,5509,418,1390,100,0.000609,0.000435
9d64df5fe6c7948067c32099b8e674057b90edb9,5525,58,1471,16,0.000624,0.000445
9342b72795395468a35bb549bdc8a1162b541207,5555,435,1339,100,0.000602,0.00043
1566e5e2bc5c78f4ffb029f179a5a41eb3001537,5608,388,1401,100,0.000607,0.000433
acfabed34de3d37ec09d1ccf19d0256d3701f6a0,5639,380,1496,100,0.000621,0.000443
8012ab9261e117ab47a2759b3c0b628f2a007a82,5671,191,1325,46,0.000603,0.00043
eb7351741e625495526ef41054508d794b20e71d,5703,368,1447,100,0.000625,0.000446
19ada71a47bce7c505c5f9e0f70ffd62bc143b78,5720,328,1495,100,0.000624,0.000445
fdb6f13ee1a5ae7ea8fbdbe714e4538bb1b09b5c,5726,359,1501,84,0.000627,0.000447
a5378bff27b209c5873c81c5b891e50bafb6c89f,5735,427,1639,100,0.000649,0.000463
5d2e14129f00d0f1bd87cebd7c8d144939646a6c,5761,471,1362,100,0.000611,0.000436
7af2ec63dbf2192b31670417c0a2dae0b0dcff27,5764,87,1435,21,0.000628,0.000448
5089461d5af840eb2b0091755fe765a8c812a269,5794,479,1335,100,0.000607,0.000433
10df276b0775dd707d56c6ef6aa3ec9e70f74adb,5846,152,1398,39,0.000607,0.000433
f3385b06a6b81dc38af1d9519dd214946beb69f9,5850,363,1390,73,0.000605,0.000431
06419b68c83760a6035058c28d4a4a34c2e4433f,5874,159,1498,39,0.000614,0.000438
985910b55fdc95ae9dea1dd906d53a951928db62,5891,430,1522,100,0.000619,0.000442
be06906f7a7723c2f6d626d2feb0d3c3a7c50294,5906,385,1359,86,0.000602,0.00043
c611ef2ba9e73788f5fd52c3d45068d2f17245b6,5911,400,1518,100,0.000619,0.000441
f2932f1d3bce7c41bf1e2c6a173d26e017b33081,5912,422,1390,100,0.000603,0.00043
a74ccf85495f451501e3a3f3c0ebcbf4619cf7b6,5925,58,1566,16,0.000628,0.000448
c80c201a6db0c465d1060c82d687ca1406b8adec,5942,369,1568,100,0.000629,0.000449
8e65457def9785276d1c53d7c191a2dbc8ef34ab,5963,414,1521,99,0.000622,0.000444
a32a90f23b1fe17578ce491f3785ad725db01daa,5964,412,1651,100,0.000649,0.000463
b7b60ce493782b1766b0f3030587b8fa7582a1b4,5973,342,1422,76,0.000627,0.000448
2428c9cc205bff07943a7d9782c75a7be7cfd283,5992,238,1564,55,0.000638,0.000455
c0f2f29866b4c87d9a53fbd3fb729e6b8dd92fdb,6025,396,1487,100,0.000628,0.000448
00eb8ba695cba4099488bae9330a109730ad4d39,6107,426,1571,100,0.000641,0.000457
9d8926d5f41b49ee86f0c1c2aea197763455e1f8,6147,109,1484,24,0.000628,0.000448
ec77931c0d4c5d694111b242e0d2f9715ccdd905,6200,58,1551,16,0.000637,0.000455
f6f11e89883e048359708a1f957d3f3ba33c9ea2,6202,396,1669,100,0.000667,0.000476
3a8c6ca8154c3a4a3e3d81bef88e752a1d02b05d,6235,408,1535,100,0.000629,0.000448
ae021c9412d703735b2dfe320b31235037998d5e,6266,436,1526,100,0.000624,0.000445
183e6a145f5dd85b3ca4a78c84d8e773d43c0671,6274,315,1640,72,0.00064,0.000456
320a90ff60e74925c0dc3298ec4dfc83c3b8bbfe,6313,504,1450,100,0.000617,0.00044
d4d90412dd3cee58486d19f7af5e62592064b0d9,6323,425,1471,100,0.00062,0.000442
15ce4fa146c8095b91abab975ad30507d478b025,6353,413,1697,100,0.000662,0.000472
3e6653f0234c264a91789221215be8191ab515f1,6374,113,1689,29,0.000661,0.000472
9c7a455c83a35e000c32ab5712c2ea310840aa85,6376,104,1550,23,0.000629,0.000448
0e128eb71fc968e226f2264ed77cf239b1dddddb,6392,435,1688,100,0.000657,0.000469
45e8d92555003f56ff5096abf8e67a164e0e47be,6393,182,1457,37,0.000623,0.000445
cf0acae1a92cff9d4f76f79c6398a8e8051439e1,6430,411,1593,100,0.000634,0.000453
54f19fc0471733df1defde806f065262b3dfeca6,6453,58,1617,16,0.00064,0.000457
acef3dcc1c0e94254685326f9ff4459dd5241dfb,6455,397,1725,100,0.000668,0.000476
4bcdd6896cca9eae70eeacee4105144164a11c15,6461,389,1705,100,0.000665,0.000475
0953a85cee13aba3aebad5a7f625349e9a848679,6467,451,1530,100,0.000626,0.000447
44656dd9ae04f90248e8a8f2e280840850d65e3d,6486,394,1631,100,0.000646,0.000461
d1c6d891ee60600141277f676266808edf434dc2,6489,424,1478,100,0.000622,0.000444
f2b57ae4351196a4e60c0f5f0742eecbaa983345,6492,222,1582,46,0.00064,0.000456
d26c7635fbaf8ffaaa93e6241158f7064f83a03c,6511,124,1754,31,0.000674,0.000481
b0bad98befd8ab27605dc64816a529e6a729c6ba,6553,220,1680,51,0.000664,0.000473
54eda1d633261e9b9daa731398c6c564fa865c5b,6585,58,1641,16,0.000647,0.000462
dbeea9a9e529f1abf9ede133becc417d8280612e,6590,443,1605,100,0.000639,0.000456
3a1681ddde8420d3a7f8a5f49a3be3833f54a98c,6631,115,1646,28,0.000645,0.00046
e0899e1b017634c66815988009ca2513fc33b2d5,6635,406,1649,100,0.00065,0.000463
010848ae03bc64e5b1167ca85161bfbb3b84b341,6648,125,1740,36,0.000671,0.000479
53349bb59dda89c4dc60c6c1bab84aef08e9edf4,6653,384,1744,100,0.000671,2e-06
07c351e3489286a82551e53ade4c1e607ec31633,6683,227,1722,51,0.000669,0.000477
6527821f1f1ed954e44ae7ed28542d21ecd3b4a1,6729,370,1906,100,0.000686,0.00049
3febb2d4331eac37bbc28bbc4a2b07e3c0209bc9,6758,425,1724,100,0.000668,0.000476
f2f73ade5236f089d6eeac9a5dbc489fc374c195,6774,170,1676,36,0.000663,0.000473
ee18c099a044c40e4f790a13241b325962b8cd61,6794,404,1666,100,0.000662,0.000472
0dfd0df01aeeeec0f50a20c1e0a657e2edce9a1e,6826,201,1702,47,0.000669,0.000477
c2819125718c185c1d7868e8abbe050e00acb32c,6836,406,1705,100,0.000669,0.000477
2d1c0a8c4820580d16220cf7b1585b0db6685c65,6860,495,1668,100,0.000663,0.000473
0c3a5962f929c046ba3bd383c1c1640ad9d01ae8,6869,396,1745,100,0.000671,0.000479
152b05bb0925096129a150a3f87d61be7e6920ec,6890,412,1737,100,0.00067,0.000478
f88d15c780a7ae55a78887bacc55a185c7802a91,6903,390,1808,100,0.00068,0.000485
e0bdcc529cb7d9bd7655c0118f789ecfaaf9c8b6,6937,370,1886,100,0.000686,0.000489
61496c72d275dc70dbf7d2e01ac6c13c891329b7,6948,58,1738,16,0.000668,0.000477
6682319063b0c8c84ee1b93761fab51617864fc7,6950,94,1637,24,0.000645,0.00046
d862d9da5fc997843e80a600fa7efba29c59e1fd,7011,461,1673,100,0.000656,0.000468
de82c06bc69a515f3e18311f446916a9cce730be,7033,138,1804,31,0.000673,0.00048
143d0b4d6dee5c43b38fbbd2b3b6584a71aba6f8,7044,399,1770,100,0.000661,0.000472
2e059199c60762807dc7d8715bfba7bedf383a8e,7073,423,1916,100,0.000683,0.000488
258c8d1c7bc3b6fcecd72a344d28fd9c930972a9,7122,271,1802,60,0.000678,0.000484
6f9118ac1c7481ac4ff1d99d98b482019951935d,7131,406,1851,99,0.000684,0.000488
17f2453b715bdbee6c2d88c0cebb3cfc96fccac6,7145,408,1818,100,0.00068,0.000485
469c6ac05092ca5997728c9dfc19f9ab6b936e40,7146,428,1705,100,0.00067,0.000478
8e94c02e765221aff188fb9bb10bd9a60435ef7c,7154,451,1720,100,0.000668,0.000477
d9813437e5f72726406523572ba8c82aff3a551b,7183,409,1754,100,0.000665,0.000474
9f7dbbb211c8d5dba4594e6e8b4df3a282b80f47,7259,402,1818,100,0.000669,0.000477
5683958ee5cd3378a903c549ddc2f03c88fa1b6f,7271,407,2010,100,0.000694,0.000495
ea70281fc0ae1b1722eae2723f26a419123d491d,7285,422,1733,99,0.000664,0.000473
b20072a6cef6af8b6e1daa00265fc6bb32797eed,7325,220,1731,48,0.000667,0.000476
9ca1d8cc633531cb64154d54bcb1f6e7fd235d4a,7390,472,1654,100,0.000647,0.000462
c2ba013e9af7288c79498f2c7016b2803652e14a,7425,408,1840,100,0.000682,0.000486
614d08e0137faaef443aeb14beaab2c2cb08404b,7505,339,1920,100,0.000695,0.000496
c55395bc134e866c06e13b64521c6f0ef0f58a84,7529,464,1808,100,0.00068,0.000485
52a7717f3e3ba1b65fea58845bca23976b549bc5,7561,282,2140,100,0.000737,0.000526
27d123a9ee10c4e8913e8b17ba969d865df5de39,7570,430,1715,99,0.00067,0.000478
481852927eb65b181a74c14099b4b6b82e8b9128,7585,143,1862,33,0.000678,0.000484
2ca1c1352ac3326a1a58c5e4838211f166b67aaa,7614,80,1966,17,0.000697,0.000497
31d449569a76d8becda48ccd0332fd00ce0a2cf0,7619,343,2027,100,0.0007,0.000499
a807cea970074400155df959aa805daca7672634,7721,451,1820,100,0.000678,0.000484
2921080a41634e92825238311cc29e7d8a6a6c04,7781,394,2165,100,0.00074,0.000528
fe590d04846ec55a287e21166634af4a61077977,7808,410,2027,100,0.000703,0.000502
97341e6a10a42f06a1039ce46ed5064a7ce0de62,7836,358,2161,100,0.000744,0.000531
0439bdd9b93cadd6d24b0bbfe872c323a535cfba,7850,58,2157,16,0.000738,0.000526
80c4b62473f179325602d5de85463991f0287167,7868,58,1935,16,0.000692,0.000493
b3f3991c42e1ef38f3de3eb5750d9817197be8f0,7897,365,2064,100,0.000713,0.000509
16bc13fb472562396add5afec8ce7d8f07aa82ce,7909,58,2063,16,0.000714,0.00051
c1a58bf785f7a5b92b5ecbd8b7a4f8c088189cea,7931,402,1967,100,0.000694,0.000495
05bf5abb00b52998ca4b65ba014d6c0e22894012,8029,335,2098,100,0.00072,0.000514
ef52c03e46ff2a2cc4db02978ad1d9762370ace7,8040,89,1962,19,0.0007,0.000499
4c62bb5762def0c19a0a8953f4fd4021c4cec93b,8083,386,2235,100,0.000759,0.000542
b02f77d3c8866a5b7c36c4abb06702a3435e1f06,8095,357,2136,100,0.000734,0.000524
a2597f2db4bb9e5cab4c1b08d43c5c1850de2c1e,8096,388,2174,100,0.000732,0.000523
d84483d7e2161730de62d0a277c301ac31644372,8131,346,2167,100,0.000729,0.00052
809ceeb0a64841f31128384ab5703af4e3a2b9b1,8187,58,2194,16,0.000738,0.000526
d24e159600cefc33421382f8bbf4dd4245a3bca9,8190,58,2079,16,0.000711,0.000507
96db0090932170a01a3dd67248183c5ae7360eed,8192,347,1912,75,0.000674,0.000481
0b8fabfae79c9bfc8981a213c2117e394656dd8a,8193,405,2084,100,0.000714,0.000509
2b6ac8c0fdc51a434e659ded956df5153466bdad,8202,469,1971,100,0.000693,0.000494
a4012b8e0b16ad5506d419743065933ad10e2066,8224,127,2174,29,0.000736,0.000525
7661803c32a1511bf302a8a5abdc3c462f080fb2,8248,454,2020,100,0.000699,0.000499
e4343041de9b9f5efb4f5539f49bccfb9da36a8f,8274,58,1980,16,0.000701,0.0005
d2912725c0878dc3d44478f5f70e88efb0988a59,8291,58,2148,16,0.000743,0.00053
e7bf630eed5ef955ae27b6c3f43062c7772246b2,8327,58,2093,16,0.000726,0.000518
5e0979d37ac3fecaa87fa7ecbafb2ec91b74a6b8,8334,442,1941,100,0.000699,0.000499
a5ca926be994dc0b3ff68df3b3c846306f2b47d3,8357,384,2151,100,0.000737,0.000526
ece80b926a37ec20d06e8e4fc4886d37f60002de,8363,293,2093,70,0.000714,0.00051
76e5a6b2cfe48a6ddb6362de1a5b554fdc9ff745,8462,58,2164,16,0.000728,0.00052
a30a6ff9050dee80dfa6a5af24bf24660931efcb,8490,424,2126,100,0.000721,0.000515
87edb976f8c49008f2bd83f9e567784616319e5b,8495,382,2319,100,0.000757,0.00054
4dcf206f63daa3ffdb4c77b2441e7aed78d2c8c5,8527,380,2253,100,0.000742,0.000529
e738321378f0cf12a7ceff643d90533f3ab1068a,8537,388,2169,100,0.00073,0.000521
a25242b9039a0b1d1f273c81f979c33ccce2f3b5,8619,61,2354,12,0.000754,0.000538
04c28c2d6c524d96e046cadf32eb44803f83a98c,8631,237,2117,51,0.000725,0.000517
