id,input_length,output_length,input_tokens,output_tokens,energy_kwh,carbon_kg
ff1a6ad0112f0b53088131486b47257883300594,5000,477,1057,100,0.000569,0.000406
bd39bb81dd6a98cc316104906dda9a3c43c90cce,5011,444,1087,100,0.000564,0.000403
ebc4f4933e26041284191b5f96dec894ba8f7c64,5022,510,1040,100,0.000565,0.000403
fb1117897822bddb6586aa283e4a67d82b507f3a,5027,533,1005,100,0.000557,0.000397
3c317de39a237d3c37b5b3f85c57a81b1a8f641d,5048,501,1047,100,0.000568,0.000405
3a1e0d107b1d59dc0ed9c6279a1be0f5e404e221,5070,476,1092,100,0.000576,0.000411
5b5348dd1467b4a3d06807a844f6c50547ad8449,5104,543,1054,100,0.000572,0.000408
a7dab93b6e6e2895bb4d485c0ab0476bf92e76f6,5112,465,1123,100,0.000582,0.000415
d8fbffc5ba638a17bab565436ae8b3f197d7eb53,5116,517,1128,100,0.000584,0.000417
6e201472a236b22d30cb06131da1c10d927d0cdf,5119,514,1091,100,0.000581,0.000414
ad607ef8e5ef919c3a9a2c66977c008612ce45c8,5121,514,1123,100,0.000588,0.000419
03a5b8b58dcdc144bcf065315ae26bdffcdf8489,5123,531,1055,100,0.000584,0.000417
bbefc5e66e787fdb7f9b07a11511d839ae8622f3,5127,502,1063,100,0.000586,0.000418
b93353a4ea2c5e16d06107c42ad4b2ef152a5ff9,5143,519,1124,100,0.000591,0.000422
af81854b1fa7e1f7f7b48fe3bee4bb8b5000adec,5157,452,1143,100,0.000597,0.000426
7527340583e3261412fba69d6cbfb69bd0f44e7c,5157,428,1101,88,0.000538,0.000384
e1735de4903e2fbcaf4324e4d6b470085e9e1123,5161,540,992,100,0.000573,0.000409
0b39853937e80b8357c387f5ca0c0a9fd04bec54,5167,455,1101,100,0.000593,0.000423
8723319e2310adcae2eba891e544a5bf925bdcb8,5186,544,1061,100,0.00059,0.000421
d1817ab81ef20f2cbaa84918e259bc0fbdc1c917,5190,437,1195,100,0.000605,0.000432
14e61bdc3c0b9605a5cb69f0b8f867d5f115ab0d,5193,497,1067,99,0.00059,0.000421
3babc515cfdfa5c6c9f183a2faa31334c7110126,5193,541,1119,100,0.000599,0.000427
47b42b9c731ba78d9cc76424ede07fe82e477c81,5195,527,1095,100,0.000595,0.000424
c2e0aaceb071c07699718692ab681a59792c2d5a,5199,540,1105,100,0.000594,0.000424
c724517e8588a60f716d49e1fc9d2ff1ca764ebb,5208,245,1114,48,0.00035,0.00025
20adc6865b6c8ab3602f7ce902bbf9f032272e5b,5213,524,1019,100,0.00058,0.000414
f1e9c0436d8e610d311a00d403a6b9be418dda3c,5215,516,1056,100,0.000596,0.000425
766f281ccfb475b6f58e16ac28e33746b4581fb2,5234,529,1093,100,0.000601,0.000429
b57308492aee4ddde40d117af53c3bfa711de215,5243,470,1131,100,0.000602,0.00043
d1e1bfe41cc531019f0b85e0ebc5789673dbe21d,5254,491,1087,100,0.000597,0.000426
e7cf3fffdc93587e901c6499aaecffcf66f1a7ab,5273,500,1087,100,0.000601,0.000429
5c5ee76b04b25f0f36aaa802ef25fb39d38932c9,5280,487,1130,100,0.000603,0.00043
2c90c4b3461027f05e9dc73ace43f7026057b34c,5287,363,1143,62,0.000424,0.000303
326b9c501b6f7c77e1647faced6a868d09ddf451,5292,246,1167,52,0.000376,0.000268
94a2086707cf79ca326d032dad1e3570f9e2b38a,5308,484,1152,100,0.000603,0.00043
4beda1c7963944a3e42bd4982ebc591d1491c418,5311,513,1082,100,0.000599,0.000427
0d1d6284061a99cb2478ecb4b490e4605698ec3e,5328,479,1167,100,0.000607,0.000433
5a6c0fe6a8e12bad310bb4fa953d4f137d7016a0,5372,525,1117,100,0.000605,0.000432
67de0c6bffb4ddc96f224eee2e5157ab399751ec,5375,439,1236,100,0.000619,0.000442
fb61501f52e298631b96616e83d4657401abbc5f,5381,447,1222,100,0.000619,0.000441
9bf5a7e9f829938023daae1d5d369e4c4e30533b,5382,448,1214,101,0.000614,0.000438
f807b37c2481d4610cbae445a8693bcbd1a99a8b,5413,487,1224,100,0.000619,0.000442
077936616bddd81b17f243dda9ebd6e3e133e69f,5414,374,1125,72,0.000477,0.00034
e1f967ec14cb4f560c45573fe438a16760956478,5426,511,1114,100,0.000605,0.000431
8c2f38ff2f1e64fa49665feb36b57e3b2f100a7f,5426,507,1149,100,0.00061,0.000435
4fa6df0d0e7b79d885fb9195d584f1c14d4e0b22,5428,480,1189,100,0.00061,0.000435
ee2b8ad7cd909f1435505209192ef560577d2186,5451,496,1176,100,0.000607,0.000433
dddebc917835f31bb4ec4d7c99aa2f9db9ed420b,5452,508,1232,100,0.000615,0.000439
e90ddb6e9b9463f10182f6524bc2a7d2e8f3871b,5455,337,1225,66,0.000451,0.000322
48cc25d1b938315a08c984829a2c8cc6757e563a,5481,152,1174,35,0.000293,0.000209
f6de91625886294574af6e667cd2a5ad0936ac9a,5490,466,1232,100,0.000615,0.000439
729d329aee423fc6d0444ca55cdfb583907989c9,5509,498,1211,100,0.000609,0.000434
9d64df5fe6c7948067c32099b8e674057b90edb9,5525,472,1237,101,0.000616,0.000439
9342b72795395468a35bb549bdc8a1162b541207,5555,566,1141,100,0.000606,0.000433
1566e5e2bc5c78f4ffb029f179a5a41eb3001537,5608,479,1213,100,0.000614,0.000438
acfabed34de3d37ec09d1ccf19d0256d3701f6a0,5639,477,1299,100,0.000638,0.000455
8012ab9261e117ab47a2759b3c0b628f2a007a82,5671,546,1158,100,0.000615,0.000439
eb7351741e625495526ef41054508d794b20e71d,5703,452,1245,100,0.000626,0.000446
19ada71a47bce7c505c5f9e0f70ffd62bc143b78,5720,417,1301,101,0.000643,0.000459
fdb6f13ee1a5ae7ea8fbdbe714e4538bb1b09b5c,5726,453,1290,100,0.000642,0.000458
a5378bff27b209c5873c81c5b891e50bafb6c89f,5735,497,1309,100,0.000644,0.00046
5d2e14129f00d0f1bd87cebd7c8d144939646a6c,5761,318,1125,61,0.000611,0.000436
7af2ec63dbf2192b31670417c0a2dae0b0dcff27,5764,347,1252,72,0.000485,0.000346
5089461d5af840eb2b0091755fe765a8c812a269,5794,477,1182,100,0.000615,0.000439
10df276b0775dd707d56c6ef6aa3ec9e70f74adb,5846,567,1191,100,0.000617,0.00044
f3385b06a6b81dc38af1d9519dd214946beb69f9,5850,391,1242,86,0.00055,0.000393
06419b68c83760a6035058c28d4a4a34c2e4433f,5874,456,1278,101,0.000621,0.000443
985910b55fdc95ae9dea1dd906d53a951928db62,5891,454,1347,101,0.000637,0.000454
be06906f7a7723c2f6d626d2feb0d3c3a7c50294,5906,627,1115,100,0.000604,0.000431
c611ef2ba9e73788f5fd52c3d45068d2f17245b6,5911,453,1303,100,0.000633,0.000452
f2932f1d3bce7c41bf1e2c6a173d26e017b33081,5912,467,1233,100,0.000616,0.00044
a74ccf85495f451501e3a3f3c0ebcbf4619cf7b6,5925,467,1316,101,0.000636,0.000454
c80c201a6db0c465d1060c82d687ca1406b8adec,5942,436,1375,100,0.000639,0.000456
8e65457def9785276d1c53d7c191a2dbc8ef34ab,5963,490,1316,100,0.000637,0.000454
a32a90f23b1fe17578ce491f3785ad725db01daa,5964,472,1388,100,0.000644,0.00046
b7b60ce493782b1766b0f3030587b8fa7582a1b4,5973,516,1234,100,0.000623,0.000444
2428c9cc205bff07943a7d9782c75a7be7cfd283,5992,454,1361,100,0.000644,0.000459
c0f2f29866b4c87d9a53fbd3fb729e6b8dd92fdb,6025,460,1292,100,0.000636,0.000454
00eb8ba695cba4099488bae9330a109730ad4d39,6107,477,1319,100,0.000641,0.000457
9d8926d5f41b49ee86f0c1c2aea197763455e1f8,6147,536,1280,100,0.000638,0.000455
ec77931c0d4c5d694111b242e0d2f9715ccdd905,6200,472,1342,100,0.000644,0.000459
f6f11e89883e048359708a1f957d3f3ba33c9ea2,6202,308,1421,72,0.000507,0.000362
3a8c6ca8154c3a4a3e3d81bef88e752a1d02b05d,6235,450,1359,100,0.000645,0.00046
ae021c9412d703735b2dfe320b31235037998d5e,6266,583,1277,100,0.000629,0.000449
183e6a145f5dd85b3ca4a78c84d8e773d43c0671,6274,477,1456,100,0.000652,0.000465
320a90ff60e74925c0dc3298ec4dfc83c3b8bbfe,6313,594,1185,100,0.000613,0.000437
d4d90412dd3cee58486d19f7af5e62592064b0d9,6323,477,1240,100,0.000623,0.000445
15ce4fa146c8095b91abab975ad30507d478b025,6353,442,1418,100,0.000647,0.000461
3e6653f0234c264a91789221215be8191ab515f1,6374,457,1472,100,0.000656,0.000468
9c7a455c83a35e000c32ab5712c2ea310840aa85,6376,526,1319,100,0.000641,0.000457
0e128eb71fc968e226f2264ed77cf239b1dddddb,6392,516,1422,100,0.000643,0.000459
45e8d92555003f56ff5096abf8e67a164e0e47be,6393,495,1267,100,0.000628,0.000448
cf0acae1a92cff9d4f76f79c6398a8e8051439e1,6430,517,1326,100,0.000638,0.000455
54f19fc0471733df1defde806f065262b3dfeca6,6453,535,1339,100,0.00064,0.000457
acef3dcc1c0e94254685326f9ff4459dd5241dfb,6455,530,1476,101,0.00065,0.000464
4bcdd6896cca9eae70eeacee4105144164a11c15,6461,375,1458,75,0.000524,0.000374
0953a85cee13aba3aebad5a7f625349e9a848679,6467,547,1301,100,0.000636,0.000454
44656dd9ae04f90248e8a8f2e280840850d65e3d,6486,463,1438,100,0.00065,0.000463
d1c6d891ee60600141277f676266808edf434dc2,6489,495,1290,100,0.000639,0.000456
f2b57ae4351196a4e60c0f5f0742eecbaa983345,6492,526,1356,100,0.000645,0.00046
d26c7635fbaf8ffaaa93e6241158f7064f83a03c,6511,178,1486,40,0.000353,0.000252
b0bad98befd8ab27605dc64816a529e6a729c6ba,6553,465,1477,101,0.000654,0.000466
54eda1d633261e9b9daa731398c6c564fa865c5b,6585,506,1476,100,0.000653,0.000466
dbeea9a9e529f1abf9ede133becc417d8280612e,6590,62,1398,14,0.000215,0.000154
3a1681ddde8420d3a7f8a5f49a3be3833f54a98c,6631,498,1410,100,0.000643,0.000459
e0899e1b017634c66815988009ca2513fc33b2d5,6635,526,1422,100,0.000641,0.000457
010848ae03bc64e5b1167ca85161bfbb3b84b341,6648,441,1498,99,0.000651,0.000464
53349bb59dda89c4dc60c6c1bab84aef08e9edf4,6653,287,1503,65,0.000475,0.000339
07c351e3489286a82551e53ade4c1e607ec31633,6683,456,1510,100,0.000652,0.000465
6527821f1f1ed954e44ae7ed28542d21ecd3b4a1,6729,212,1543,42,0.000374,0.000267
3febb2d4331eac37bbc28bbc4a2b07e3c0209bc9,6758,403,1495,100,0.000653,0.000466
f2f73ade5236f089d6eeac9a5dbc489fc374c195,6774,455,1468,100,0.000649,0.000463
ee18c099a044c40e4f790a13241b325962b8cd61,6794,516,1431,100,0.000649,0.000463
