id,input_length,output_length,input_tokens,output_tokens,energy_kwh,carbon_kg
ff1a6ad0112f0b53088131486b47257883300594,5000,401,1197,98,0.000563,0.000401
bd39bb81dd6a98cc316104906dda9a3c43c90cce,5011,391,1250,98,0.000562,0.000401
ebc4f4933e26041284191b5f96dec894ba8f7c64,5022,454,1160,98,0.000553,0.000395
fb1117897822bddb6586aa283e4a67d82b507f3a,5027,456,1106,98,0.000554,0.000395
3c317de39a237d3c37b5b3f85c57a81b1a8f641d,5048,435,1148,98,0.000557,0.000397
3a1e0d107b1d59dc0ed9c6279a1be0f5e404e221,5070,373,1197,98,0.000563,0.000402
5b5348dd1467b4a3d06807a844f6c50547ad8449,5104,452,1156,97,0.000562,0.000401
a7dab93b6e6e2895bb4d485c0ab0476bf92e76f6,5112,396,1259,98,0.00058,0.000414
d8fbffc5ba638a17bab565436ae8b3f197d7eb53,5116,85,1290,23,0.000592,0.000422
6e201472a236b22d30cb06131da1c10d927d0cdf,5119,423,1231,99,0.000579,0.000413
ad607ef8e5ef919c3a9a2c66977c008612ce45c8,5121,418,1207,98,0.000574,0.00041
03a5b8b58dcdc144bcf065315ae26bdffcdf8489,5123,460,1154,98,0.000571,0.000408
bbefc5e66e787fdb7f9b07a11511d839ae8622f3,5127,435,1208,98,0.000576,0.000411
b93353a4ea2c5e16d06107c42ad4b2ef152a5ff9,5143,419,1275,97,0.000586,0.000418
af81854b1fa7e1f7f7b48fe3bee4bb8b5000adec,5157,293,1279,65,0.00059,0.000421
7527340583e3261412fba69d6cbfb69bd0f44e7c,5157,379,1234,97,0.000585,0.000418
e1735de4903e2fbcaf4324e4d6b470085e9e1123,5161,494,1107,98,0.00057,0.000407
0b39853937e80b8357c387f5ca0c0a9fd04bec54,5167,421,1259,98,0.000586,0.000418
8723319e2310adcae2eba891e544a5bf925bdcb8,5186,440,1193,97,0.000577,0.000411
d1817ab81ef20f2cbaa84918e259bc0fbdc1c917,5190,348,1313,98,0.0006,0.000428
14e61bdc3c0b9605a5cb69f0b8f867d5f115ab0d,5193,423,1183,97,0.000578,0.000412
3babc515cfdfa5c6c9f183a2faa31334c7110126,5193,463,1202,98,0.00058,0.000414
47b42b9c731ba78d9cc76424ede07fe82e477c81,5195,418,1247,98,0.000586,0.000418
c2e0aaceb071c07699718692ab681a59792c2d5a,5199,449,1274,98,0.000591,0.000421
c724517e8588a60f716d49e1fc9d2ff1ca764ebb,5208,96,1205,24,0.000584,0.000417
20adc6865b6c8ab3602f7ce902bbf9f032272e5b,5213,251,1122,50,0.000579,0.000413
f1e9c0436d8e610d311a00d403a6b9be418dda3c,5215,468,1193,98,0.00059,0.000421
766f281ccfb475b6f58e16ac28e33746b4581fb2,5234,475,1164,98,0.000588,0.00042
b57308492aee4ddde40d117af53c3bfa711de215,5243,417,1278,98,0.000599,0.000428
d1e1bfe41cc531019f0b85e0ebc5789673dbe21d,5254,423,1176,98,0.000587,0.000419
e7cf3fffdc93587e901c6499aaecffcf66f1a7ab,5273,475,1192,98,0.000589,0.00042
5c5ee76b04b25f0f36aaa802ef25fb39d38932c9,5280,429,1209,98,0.000592,0.000422
2c90c4b3461027f05e9dc73ace43f7026057b34c,5287,429,1256,96,0.000604,0.000431
326b9c501b6f7c77e1647faced6a868d09ddf451,5292,399,1288,98,0.000617,0.00044
94a2086707cf79ca326d032dad1e3570f9e2b38a,5308,406,1340,98,0.000619,0.000442
4beda1c7963944a3e42bd4982ebc591d1491c418,5311,448,1206,96,0.000592,0.000422
0d1d6284061a99cb2478ecb4b490e4605698ec3e,5328,379,1271,98,0.000603,0.00043
5a6c0fe6a8e12bad310bb4fa953d4f137d7016a0,5372,447,1274,97,0.000594,0.000424
67de0c6bffb4ddc96f224eee2e5157ab399751ec,5375,83,1359,20,0.000612,0.000436
fb61501f52e298631b96616e83d4657401abbc5f,5381,406,1304,97,0.000616,0.000439
9bf5a7e9f829938023daae1d5d369e4c4e30533b,5382,377,1376,97,0.000622,0.000444
f807b37c2481d4610cbae445a8693bcbd1a99a8b,5413,366,1328,87,0.000624,0.000445
077936616bddd81b17f243dda9ebd6e3e133e69f,5414,387,1251,98,0.000605,0.000432
e1f967ec14cb4f560c45573fe438a16760956478,5426,412,1243,97,0.000605,0.000431
8c2f38ff2f1e64fa49665feb36b57e3b2f100a7f,5426,431,1271,97,0.000601,0.000429
4fa6df0d0e7b79d885fb9195d584f1c14d4e0b22,5428,414,1316,98,0.000618,0.000441
ee2b8ad7cd909f1435505209192ef560577d2186,5451,440,1299,97,0.000617,0.00044
dddebc917835f31bb4ec4d7c99aa2f9db9ed420b,5452,351,1407,98,0.000635,0.000453
e90ddb6e9b9463f10182f6524bc2a7d2e8f3871b,5455,414,1357,98,0.000628,0.000448
48cc25d1b938315a08c984829a2c8cc6757e563a,5481,466,1289,98,0.000623,0.000444
f6de91625886294574af6e667cd2a5ad0936ac9a,5490,426,1336,98,0.000625,0.000446
729d329aee423fc6d0444ca55cdfb583907989c9,5509,419,1351,97,0.000625,0.000446
9d64df5fe6c7948067c32099b8e674057b90edb9,5525,378,1423,98,0.000628,0.000448
9342b72795395468a35bb549bdc8a1162b541207,5555,435,1289,98,0.000614,0.000438
1566e5e2bc5c78f4ffb029f179a5a41eb3001537,5608,416,1329,98,0.000618,0.000441
acfabed34de3d37ec09d1ccf19d0256d3701f6a0,5639,430,1466,99,0.000629,0.000449
8012ab9261e117ab47a2759b3c0b628f2a007a82,5671,427,1300,98,0.000617,0.00044
eb7351741e625495526ef41054508d794b20e71d,5703,368,1376,97,0.000625,0.000446
19ada71a47bce7c505c5f9e0f70ffd62bc143b78,5720,324,1453,96,0.000631,0.00045
fdb6f13ee1a5ae7ea8fbdbe714e4538bb1b09b5c,5726,159,1429,47,0.00063,0.000449
a5378bff27b209c5873c81c5b891e50bafb6c89f,5735,433,1581,98,0.000654,0.000467
5d2e14129f00d0f1bd87cebd7c8d144939646a6c,5761,113,1267,22,0.000604,0.000431
7af2ec63dbf2192b31670417c0a2dae0b0dcff27,5764,452,1396,97,0.000625,0.000446
