id,input_length,output_length,input_tokens,output_tokens,energy_kwh,carbon_kg
ff1a6ad0112f0b53088131486b47257883300594,5000,398,1079,100,0.00089,0.000635
bd39bb81dd6a98cc316104906dda9a3c43c90cce,5011,452,1124,100,0.000518,0.00037
ebc4f4933e26041284191b5f96dec894ba8f7c64,5022,544,1062,100,0.000516,0.000368
fb1117897822bddb6586aa283e4a67d82b507f3a,5027,505,1020,99,0.000523,0.000373
3c317de39a237d3c37b5b3f85c57a81b1a8f641d,5048,508,1064,100,0.000525,0.000375
3a1e0d107b1d59dc0ed9c6279a1be0f5e404e221,5070,488,1108,100,0.000534,0.000381
5b5348dd1467b4a3d06807a844f6c50547ad8449,5104,517,1069,100,0.000532,0.00038
a7dab93b6e6e2895bb4d485c0ab0476bf92e76f6,5112,471,1155,100,0.000555,0.000396
d8fbffc5ba638a17bab565436ae8b3f197d7eb53,5116,487,1171,100,0.000558,0.000398
6e201472a236b22d30cb06131da1c10d927d0cdf,5119,543,1108,100,0.000548,0.000391
ad607ef8e5ef919c3a9a2c66977c008612ce45c8,5121,525,1133,100,0.000551,0.000393
03a5b8b58dcdc144bcf065315ae26bdffcdf8489,5123,468,1069,100,0.000549,0.000392
bbefc5e66e787fdb7f9b07a11511d839ae8622f3,5127,504,1085,100,0.000558,0.000398
b93353a4ea2c5e16d06107c42ad4b2ef152a5ff9,5143,521,1139,100,0.000567,0.000404
af81854b1fa7e1f7f7b48fe3bee4bb8b5000adec,5157,455,1164,100,0.000581,0.000414
7527340583e3261412fba69d6cbfb69bd0f44e7c,5157,441,1141,99,0.000568,0.000405
e1735de4903e2fbcaf4324e4d6b470085e9e1123,5161,551,1002,100,0.000557,0.000397
0b39853937e80b8357c387f5ca0c0a9fd04bec54,5167,452,1150,101,0.00057,0.000407
8723319e2310adcae2eba891e544a5bf925bdcb8,5186,569,1073,100,0.000568,0.000405
d1817ab81ef20f2cbaa84918e259bc0fbdc1c917,5190,457,1210,89,0.000541,0.000386
14e61bdc3c0b9605a5cb69f0b8f867d5f115ab0d,5193,487,1097,100,0.000568,0.000406
3babc515cfdfa5c6c9f183a2faa31334c7110126,5193,483,1126,101,0.000568,0.000405
47b42b9c731ba78d9cc76424ede07fe82e477c81,5195,496,1118,100,0.000568,0.000405
c2e0aaceb071c07699718692ab681a59792c2d5a,5199,542,1128,100,0.000568,0.000405
c724517e8588a60f716d49e1fc9d2ff1ca764ebb,5208,487,1119,100,0.000568,0.000405
20adc6865b6c8ab3602f7ce902bbf9f032272e5b,5213,542,1023,100,0.000562,0.000401
f1e9c0436d8e610d311a00d403a6b9be418dda3c,5215,470,1076,100,0.000565,0.000403
766f281ccfb475b6f58e16ac28e33746b4581fb2,5234,539,1098,95,0.000549,0.000392
b57308492aee4ddde40d117af53c3bfa711de215,5243,424,1162,100,0.000587,0.000418
d1e1bfe41cc531019f0b85e0ebc5789673dbe21d,5254,440,1100,100,0.000562,0.000401
e7cf3fffdc93587e901c6499aaecffcf66f1a7ab,5273,516,1102,101,0.000558,0.000398
5c5ee76b04b25f0f36aaa802ef25fb39d38932c9,5280,510,1141,96,0.000551,0.000393
2c90c4b3461027f05e9dc73ace43f7026057b34c,5287,555,1147,100,0.000566,0.000404
326b9c501b6f7c77e1647faced6a868d09ddf451,5292,546,1171,100,0.000579,0.000413
94a2086707cf79ca326d032dad1e3570f9e2b38a,5308,495,1188,100,0.000575,0.00041
4beda1c7963944a3e42bd4982ebc591d1491c418,5311,581,1088,100,0.000564,0.000402
0d1d6284061a99cb2478ecb4b490e4605698ec3e,5328,439,1184,100,0.000577,0.000412
5a6c0fe6a8e12bad310bb4fa953d4f137d7016a0,5372,459,1174,100,0.000581,0.000415
67de0c6bffb4ddc96f224eee2e5157ab399751ec,5375,403,1254,100,0.000596,0.000425
fb61501f52e298631b96616e83d4657401abbc5f,5381,470,1228,100,0.000593,0.000423
9bf5a7e9f829938023daae1d5d369e4c4e30533b,5382,445,1255,101,0.000597,0.000426
f807b37c2481d4610cbae445a8693bcbd1a99a8b,5413,463,1237,100,0.000593,0.000423
077936616bddd81b17f243dda9ebd6e3e133e69f,5414,429,1147,100,0.00057,0.000407
e1f967ec14cb4f560c45573fe438a16760956478,5426,521,1123,100,0.00057,0.000407
8c2f38ff2f1e64fa49665feb36b57e3b2f100a7f,5426,522,1154,100,0.000584,0.000416
4fa6df0d0e7b79d885fb9195d584f1c14d4e0b22,5428,492,1213,100,0.00059,0.000421
ee2b8ad7cd909f1435505209192ef560577d2186,5451,535,1183,100,0.000589,0.00042
dddebc917835f31bb4ec4d7c99aa2f9db9ed420b,5452,475,1300,100,0.000596,0.000425
e90ddb6e9b9463f10182f6524bc2a7d2e8f3871b,5455,440,1238,80,0.000502,0.000358
48cc25d1b938315a08c984829a2c8cc6757e563a,5481,490,1197,100,0.00058,0.000414
f6de91625886294574af6e667cd2a5ad0936ac9a,5490,518,1243,100,0.000583,0.000416
729d329aee423fc6d0444ca55cdfb583907989c9,5509,469,1225,100,0.000581,0.000415
9d64df5fe6c7948067c32099b8e674057b90edb9,5525,434,1280,101,0.000589,0.00042
9342b72795395468a35bb549bdc8a1162b541207,5555,534,1156,100,0.00058,0.000414
1566e5e2bc5c78f4ffb029f179a5a41eb3001537,5608,481,1226,100,0.000592,0.000423
acfabed34de3d37ec09d1ccf19d0256d3701f6a0,5639,434,1349,100,0.000602,0.000429
8012ab9261e117ab47a2759b3c0b628f2a007a82,5671,546,1162,100,0.00058,0.000414
eb7351741e625495526ef41054508d794b20e71d,5703,458,1259,100,0.000592,0.000422
19ada71a47bce7c505c5f9e0f70ffd62bc143b78,5720,449,1341,101,0.000595,0.000425
fdb6f13ee1a5ae7ea8fbdbe714e4538bb1b09b5c,5726,431,1315,100,0.000597,0.000426
a5378bff27b209c5873c81c5b891e50bafb6c89f,5735,461,1365,98,0.000598,0.000427
5d2e14129f00d0f1bd87cebd7c8d144939646a6c,5761,587,1176,101,0.000589,0.00042
7af2ec63dbf2192b31670417c0a2dae0b0dcff27,5764,499,1269,101,0.000606,0.000432
5089461d5af840eb2b0091755fe765a8c812a269,5794,493,1195,100,0.000589,0.000421
10df276b0775dd707d56c6ef6aa3ec9e70f74adb,5846,495,1200,93,0.00056,0.0004
f3385b06a6b81dc38af1d9519dd214946beb69f9,5850,485,1256,100,0.000596,0.000425
06419b68c83760a6035058c28d4a4a34c2e4433f,5874,415,1309,86,0.000534,0.000381
985910b55fdc95ae9dea1dd906d53a951928db62,5891,483,1357,101,0.000595,0.000425
be06906f7a7723c2f6d626d2feb0d3c3a7c50294,5906,576,1122,100,0.000565,0.000403
c611ef2ba9e73788f5fd52c3d45068d2f17245b6,5911,424,1341,100,0.000594,0.000424
f2932f1d3bce7c41bf1e2c6a173d26e017b33081,5912,454,1248,100,0.000594,0.000424
a74ccf85495f451501e3a3f3c0ebcbf4619cf7b6,5925,477,1343,101,0.000598,0.000426
c80c201a6db0c465d1060c82d687ca1406b8adec,5942,412,1397,100,0.000604,0.000431
8e65457def9785276d1c53d7c191a2dbc8ef34ab,5963,497,1345,99,0.000601,0.000429
a32a90f23b1fe17578ce491f3785ad725db01daa,5964,474,1447,100,0.000618,0.000441
b7b60ce493782b1766b0f3030587b8fa7582a1b4,5973,533,1247,101,0.000593,0.000423
2428c9cc205bff07943a7d9782c75a7be7cfd283,5992,476,1386,99,0.000602,0.000429
c0f2f29866b4c87d9a53fbd3fb729e6b8dd92fdb,6025,449,1306,100,0.000599,0.000427
00eb8ba695cba4099488bae9330a109730ad4d39,6107,476,1367,100,0.000599,0.000427
9d8926d5f41b49ee86f0c1c2aea197763455e1f8,6147,547,1298,100,0.000591,0.000421
ec77931c0d4c5d694111b242e0d2f9715ccdd905,6200,508,1355,100,0.000598,0.000426
f6f11e89883e048359708a1f957d3f3ba33c9ea2,6202,425,1437,92,0.000577,0.000412
3a8c6ca8154c3a4a3e3d81bef88e752a1d02b05d,6235,478,1373,100,0.000597,0.000426
ae021c9412d703735b2dfe320b31235037998d5e,6266,498,1327,100,0.000597,0.000426
183e6a145f5dd85b3ca4a78c84d8e773d43c0671,6274,494,1473,100,0.000627,0.000447
320a90ff60e74925c0dc3298ec4dfc83c3b8bbfe,6313,579,1220,100,0.000587,0.000419
d4d90412dd3cee58486d19f7af5e62592064b0d9,6323,534,1262,100,0.00059,0.000421
15ce4fa146c8095b91abab975ad30507d478b025,6353,530,1502,100,0.000629,0.000449
3e6653f0234c264a91789221215be8191ab515f1,6374,442,1510,90,0.00063,0.000449
9c7a455c83a35e000c32ab5712c2ea310840aa85,6376,514,1338,100,0.000601,0.000429
0e128eb71fc968e226f2264ed77cf239b1dddddb,6392,480,1470,100,0.000625,0.000446
45e8d92555003f56ff5096abf8e67a164e0e47be,6393,563,1274,100,0.000597,0.000426
cf0acae1a92cff9d4f76f79c6398a8e8051439e1,6430,518,1354,100,0.000599,0.000427
54f19fc0471733df1defde806f065262b3dfeca6,6453,456,1348,100,0.00059,0.000421
acef3dcc1c0e94254685326f9ff4459dd5241dfb,6455,485,1488,100,0.000615,0.000439
4bcdd6896cca9eae70eeacee4105144164a11c15,6461,412,1474,87,0.000563,0.000401
