Record_Idx,Input_Length,Output_Length,Input_Tokens,Output_Tokens,Energy_kWh,Carbon_Emissions_kgCO2e
20,2938,1219,862,322,0.001327,0.000947
69,3115,1233,912,309,0.0013,0.000928
94,3255,1379,955,319,0.001338,0.000954
13,3349,1292,961,322,0.001311,0.000935
24,3546,1061,979,247,0.001062,0.000758
95,3581,912,1000,226,0.001019,0.000727
89,3705,1265,1060,320,0.001398,0.000998
14,3699,1204,1087,312,0.001353,0.000965
99,3658,1404,1095,322,0.001398,0.000997
97,3852,1286,1121,322,0.001371,0.000978
29,4364,1038,1162,244,0.00109,0.000777
39,4471,1586,1166,298,0.00128,0.000914
4,4415,1527,1224,322,0.001408,0.001005
6,4945,1228,1252,274,0.001198,0.000854
84,4792,1224,1252,252,0.001131,0.000807
88,4093,988,1261,284,0.001254,0.000894
67,4826,983,1283,208,0.000934,0.000666
45,5087,1160,1293,235,0.001056,0.000753
50,4376,1014,1302,248,0.001056,0.000753
30,5259,1252,1308,249,0.00115,0.000821
41,5064,737,1324,160,0.000811,0.000579
77,5370,988,1329,190,0.000903,0.000644
80,5294,1462,1334,307,0.001367,0.000976
28,5082,1099,1339,249,0.001147,0.000819
18,4619,1445,1341,322,0.001354,0.000966
70,5088,1100,1344,248,0.00115,0.00082
10,4450,1193,1355,322,0.001403,0.001001
53,4481,775,1365,162,0.00071,0.000506
66,4508,1174,1382,322,0.0014,0.000999
25,5295,1005,1416,234,0.001052,0.000751
52,5450,1154,1424,263,0.001201,0.000857
75,5309,1209,1438,259,0.001173,0.000837
9,4625,517,1455,162,0.000774,0.000552
98,5826,1241,1492,285,0.001263,0.000901
86,5670,1255,1493,249,0.00112,0.000799
55,5489,1511,1499,322,0.001406,0.001003
42,5076,655,1500,322,0.00138,0.000985
51,5235,1315,1518,287,0.001285,0.000917
83,6089,1471,1533,287,0.001316,0.000939
49,5993,464,1563,95,0.000575,0.00041
19,6247,1275,1567,257,0.001171,0.000836
61,5784,1440,1583,322,0.001466,0.001046
5,5262,1266,1612,322,0.001444,0.00103
93,5785,913,1624,249,0.001171,0.000835
58,6104,1493,1627,298,0.001351,0.000964
87,6848,1494,1647,322,0.00148,0.001056
60,5685,1264,1660,322,0.001453,0.001037
73,5516,1363,1664,323,0.001449,0.001033
81,5772,1254,1684,322,0.001461,0.001042
43,6424,1112,1717,248,0.001126,0.000803
48,6823,1537,1725,322,0.001459,0.001041
79,6763,1347,1737,252,0.001137,0.000811
56,6573,1009,1766,229,0.001028,0.000733
16,5818,1179,1768,322,0.001493,0.001065
90,6818,1178,1770,286,0.001341,0.000957
8,6668,569,1778,162,0.000841,0.0006
22,6096,1148,1780,322,0.001484,0.001059
2,6538,1587,1810,322,0.001419,0.001013
21,6496,1285,1836,322,0.001482,0.001057
27,6812,1279,1850,279,0.001338,0.000954
15,7292,1502,1863,322,0.001478,0.001054
62,6601,597,1874,162,0.00079,0.000563
37,7042,1411,1887,301,0.001431,0.001021
26,6876,956,1888,188,0.000974,0.000695
33,6469,745,1893,214,0.001084,0.000773
34,7318,1558,1915,322,0.001443,0.001029
74,6589,812,1947,242,0.001219,0.00087
0,7192,1229,1967,322,0.001425,0.001017
96,7563,1426,1970,294,0.00138,0.000985
63,7532,1274,1999,322,0.001488,0.001061
85,7110,1274,2016,322,0.001481,0.001057
78,8116,539,2037,114,0.000658,0.000469
32,6823,1265,2045,322,0.001533,0.001093
31,7331,799,2061,162,0.000771,0.00055
64,8160,1485,2076,306,0.001434,0.001023
47,6842,1296,2099,322,0.00155,0.001106
68,8091,856,2129,162,0.000817,0.000583
40,8320,1444,2129,320,0.001462,0.001043
3,6854,753,2131,223,0.001169,0.000834
76,7189,1217,2135,322,0.00148,0.001056
91,8020,999,2174,228,0.001105,0.000789
35,8933,1199,2197,278,0.001332,0.000951
57,8938,1510,2208,322,0.001492,0.001064
12,7253,1297,2209,322,0.001572,0.001121
92,7355,1342,2239,322,0.001502,0.001072
38,8423,1433,2245,322,0.001535,0.001095
71,7708,1297,2256,322,0.001503,0.001072
46,8868,852,2282,162,0.000944,0.000674
11,7658,1166,2288,320,0.001504,0.001073
7,8767,1249,2293,322,0.00149,0.001063
59,9202,1488,2438,322,0.001508,0.001076
72,9500,1283,2485,293,0.001418,0.001011
36,9265,1401,2507,322,0.001577,0.001125
23,9021,1263,2517,322,0.001545,0.001103
17,9452,1218,2538,322,0.001589,0.001134
65,8910,1269,2574,322,0.001567,0.001118
82,8814,1193,2649,322,0.00158,0.001127
44,10918,686,3029,192,0.001189,0.000848
1,11217,236,3489,61,0.000521,0.000371
54,14186,674,3881,189,0.001291,0.000921
