id,input_length,output_length,input_tokens,output_tokens,energy_kwh,carbon_kg
20,2938,1241,984,322,0.00134,0.000956
69,3115,1004,1042,322,0.001293,0.000923
13,3349,1056,1081,322,0.001323,0.000944
94,3255,1002,1091,322,0.001332,0.00095
24,3546,881,1128,323,0.001359,0.000969
95,3581,875,1134,322,0.001366,0.000974
89,3705,979,1211,322,0.001403,0.001001
14,3699,807,1262,226,0.000967,0.00069
99,3658,465,1309,164,0.001346,0.000961
97,3852,1015,1311,322,0.001395,0.000995
29,4364,973,1336,321,0.001361,0.000971
39,4471,1098,1359,321,0.00137,0.000977
84,4792,1201,1430,321,0.001414,0.001009
6,4945,1113,1438,323,0.001455,0.001038
88,4093,1094,1443,324,0.001434,0.001023
4,4415,1122,1448,321,0.001409,0.001005
45,5087,852,1495,218,0.000996,0.00071
30,5259,1127,1502,321,0.001449,0.001034
67,4826,962,1503,324,0.001439,0.001026
77,5370,1080,1516,321,0.001441,0.001028
50,4376,467,1528,165,0.001424,0.001016
28,5082,1030,1548,322,0.001445,0.001031
70,5088,1187,1552,321,0.001412,0.001008
10,4450,508,1557,164,0.001463,0.001044
80,5294,633,1557,192,0.000825,0.000588
41,5064,879,1569,218,0.000985,0.000703
53,4481,567,1570,164,0.001422,0.001014
18,4619,642,1595,188,0.00138,0.000985
66,4508,403,1604,164,0.001429,0.00102
25,5295,912,1624,325,0.001446,0.001031
52,5450,1108,1637,321,0.001335,0.000953
9,4625,516,1674,164,0.001386,0.000989
75,5309,738,1679,202,0.000908,0.000647
55,5489,920,1690,321,0.001481,0.001057
98,5826,862,1725,325,0.001305,0.000931
42,5076,485,1732,163,0.001443,0.00103
86,5670,1187,1743,325,0.001381,0.000986
51,5235,1059,1760,322,0.001451,0.001035
83,6089,1078,1788,320,0.001331,0.00095
49,5993,1074,1794,321,0.00131,0.000934
19,6247,1128,1799,325,0.001311,0.000935
87,6848,1030,1847,321,0.001435,0.001024
93,5785,520,1862,163,0.001437,0.001025
61,5784,1200,1883,325,0.001388,0.00099
5,5262,196,1889,68,0.000964,0.000688
60,5685,428,1897,164,0.001407,0.001004
58,6104,916,1917,321,0.00137,0.000978
81,5772,327,1938,164,0.001321,0.000942
73,5516,497,1942,164,0.001504,0.001073
48,6823,1213,1973,325,0.001503,0.001072
43,6424,1112,1976,325,0.001501,0.001071
79,6763,1037,1979,324,0.00144,0.001028
90,6818,1085,2030,319,0.001432,0.001021
56,6573,754,2044,222,0.001043,0.000744
16,5818,501,2084,164,0.001377,0.000982
22,6096,517,2090,164,0.001366,0.000974
2,6538,977,2112,325,0.001446,0.001032
21,6496,442,2119,164,0.001415,0.001009
62,6601,327,2130,164,0.001477,0.001054
27,6812,437,2147,164,0.001515,0.001081
8,6668,1016,2153,319,0.001554,0.001108
15,7292,583,2171,164,0.001491,0.001064
33,6469,485,2190,164,0.001543,0.001101
26,6876,1161,2207,321,0.001514,0.00108
37,7042,820,2207,325,0.00148,0.001056
34,7318,1005,2210,325,0.001442,0.001029
96,7563,1213,2244,325,0.001552,0.001107
0,7192,1211,2252,325,0.001533,0.001094
63,7532,1074,2283,321,0.0015,0.00107
74,6589,506,2298,164,0.001511,0.001078
32,6823,524,2337,164,0.001531,4e-06
85,7110,879,2352,325,0.001535,0.001095
31,7331,354,2393,163,0.001488,0.001062
78,8116,1174,2401,321,0.001492,0.001065
68,8091,1122,2418,320,0.001562,0.001114
64,8160,1268,2421,321,0.0015,0.00107
76,7189,392,2424,164,0.001541,0.0011
40,8320,1197,2449,321,0.001459,0.001041
47,6842,445,2482,164,0.001593,0.001136
3,6854,459,2496,164,0.001599,0.001141
91,8020,898,2517,325,0.001495,0.001067
12,7253,510,2559,164,0.001522,0.001086
57,8938,1100,2567,321,0.00161,0.001148
7,8767,472,2567,164,0.001542,0.0011
38,8423,1083,2582,325,0.001514,0.00108
35,8933,1189,2595,324,0.001605,0.001145
71,7708,434,2596,164,0.001593,0.001136
92,7355,344,2631,164,0.001513,0.001079
46,8868,686,2660,164,0.00155,0.001106
11,7658,441,2680,164,0.001599,0.001141
59,9202,996,2857,325,0.001704,0.001216
17,9452,554,2866,164,0.001691,0.001206
72,9500,724,2878,236,0.001228,0.000876
36,9265,937,2912,325,0.001675,0.001195
65,8910,791,2923,321,0.001643,0.001172
23,9021,922,2983,321,0.001665,0.001188
82,8814,1056,3051,323,0.001688,0.001205
44,10918,538,3450,164,0.001795,0.001281
1,11217,581,3858,164,0.001837,0.00131
54,14186,214,4427,67,0.001168,0.000833
