Record_Idx,Input_Length,Output_Length,Input_Tokens,Output_Tokens,Energy_kWh,Carbon_Emissions_kgCO2e
20,2938,1206,860,324,0.001338,0.000954
69,3115,164,908,53,0.00027,0.000193
94,3255,722,950,226,0.000912,0.000651
13,3349,677,959,190,0.000788,0.000562
24,3546,1528,980,324,0.001274,0.000909
95,3581,871,995,164,0.000683,0.000487
89,3705,633,1055,205,0.000908,0.000648
14,3699,1222,1074,323,0.001341,0.000957
99,3658,1131,1093,324,0.001329,0.000948
97,3852,623,1115,200,0.000838,0.000598
29,4364,743,1160,178,0.000857,0.000611
39,4471,902,1166,168,0.000722,0.000515
4,4415,719,1224,184,0.000812,0.000579
6,4945,771,1250,168,0.000768,0.000548
84,4792,356,1253,114,0.00057,0.000407
88,4093,1283,1257,324,0.001406,0.001003
67,4826,1095,1284,254,0.001075,0.000767
45,5087,415,1290,92,0.000442,0.000316
50,4376,1392,1298,323,0.001341,0.000957
30,5259,689,1309,172,0.000711,0.000507
41,5064,63,1324,20,0.000194,0.000138
77,5370,816,1330,164,0.000858,0.000612
80,5294,820,1333,164,0.0007,0.0005
28,5082,93,1336,28,0.000222,0.000158
18,4619,933,1342,191,0.000825,0.000589
10,4450,468,1344,164,0.000816,0.000582
70,5088,717,1345,168,0.000694,0.000495
53,4481,0,1346,4,0.000134,9.6e-05
66,4508,155,1377,53,0.00033,0.000235
25,5295,1447,1413,324,0.001413,0.001008
52,5450,486,1425,117,0.000577,0.000412
75,5309,796,1437,170,0.000758,0.000541
9,4625,489,1450,164,0.000788,0.000562
55,5489,1527,1478,324,0.001445,0.001031
98,5826,721,1489,176,0.000792,0.000565
42,5076,501,1493,164,0.000821,0.000586
86,5670,1385,1494,324,0.001395,0.000995
51,5235,741,1508,164,0.000801,0.000571
83,6089,579,1534,164,0.00084,0.0006
49,5993,58,1562,21,0.000224,0.00016
19,6247,1488,1568,324,0.001388,0.00099
61,5784,1402,1581,280,0.001261,0.0009
93,5785,173,1607,57,0.000363,0.000259
5,5262,165,1610,52,0.00039,0.000279
58,6104,714,1626,171,0.00075,0.000535
87,6848,643,1648,164,0.000877,0.000626
60,5685,91,1653,33,0.000316,0.000225
73,5516,1153,1653,324,0.001455,0.001038
81,5772,1209,1677,324,0.001465,0.001045
43,6424,892,1718,208,0.000959,0.000684
48,6823,947,1725,196,0.000868,0.000619
79,6763,944,1738,210,0.001034,0.000737
56,6573,707,1765,165,0.000737,0.000526
16,5818,28,1765,14,0.000196,0.0
90,6818,889,1770,177,0.000801,0.000572
8,6668,0,1770,4,0.000154,0.00011
22,6096,495,1772,164,0.000881,0.000629
21,6496,567,1802,162,0.000856,0.000611
2,6538,1544,1811,324,0.001524,0.001088
62,6601,654,1841,164,0.000779,0.000556
27,6812,687,1847,164,0.000896,0.000639
15,7292,1111,1864,232,0.001036,0.000739
37,7042,686,1881,170,0.000791,0.000564
33,6469,154,1887,53,0.000388,0.000277
26,6876,21,1888,10,0.000186,0.000133
34,7318,1350,1915,324,0.001485,0.001059
74,6589,110,1944,38,0.000304,0.000217
0,7192,1248,1965,324,0.001475,0.001052
96,7563,836,1967,171,0.000861,0.000614
63,7532,28,1967,14,0.000211,0.00015
85,7110,735,2004,178,0.000839,0.000599
78,8116,360,2035,94,0.000595,0.000425
32,6823,474,2038,164,0.000936,0.000668
31,7331,340,2050,68,0.000415,0.000296
64,8160,754,2069,164,0.00087,0.000621
47,6842,464,2088,164,0.000881,0.000629
68,8091,797,2114,167,0.000778,0.000555
3,6854,190,2124,63,0.000431,0.000308
76,7189,134,2126,46,0.000348,0.000248
40,8320,202,2130,164,0.000967,0.00069
91,8020,774,2171,164,0.00082,0.000585
35,8933,1462,2196,323,0.0015,0.00107
12,7253,110,2198,38,0.000313,0.000223
57,8938,538,2207,128,0.00073,0.000521
92,7355,108,2229,38,0.000337,0.00024
38,8423,1111,2240,240,0.001178,0.00084
71,7708,121,2248,43,0.000367,0.000262
11,7658,475,2276,164,0.000938,0.000669
46,8868,1016,2282,232,0.001146,0.000818
7,8767,51,2284,18,0.000308,0.00022
59,9202,1296,2436,324,0.001559,0.001112
72,9500,802,2479,190,0.000949,0.000677
36,9265,721,2501,168,0.000877,0.000626
23,9021,752,2512,178,0.000818,0.000584
17,9452,966,2525,217,0.001243,0.000887
65,8910,336,2551,164,0.001007,0.000719
82,8814,710,2588,164,0.001025,0.000731
44,10918,1267,3022,324,0.001657,0.001182
1,11217,0,3475,4,0.000268,0.000191
54,14186,776,3847,205,0.001429,0.001019
