id,input_length,output_length,input_tokens,output_tokens,energy_kwh,carbon_kg
5937,2873,348,744,73,0.000453,0.000323
5888,3341,248,949,59,0.000269,0.000192
6245,3917,171,1016,34,0.000274,0.000195
6728,5057,219,1384,59,0.000285,0.000203
4807,5543,125,1635,43,0.000295,0.00021
2796,7363,143,1864,44,0.000307,1e-06
4963,7554,227,2033,94,0.000316,0.000225
6413,8033,340,2247,100,0.000327,0.000233
6668,8078,82,2137,19,0.000323,0.00023
715,8154,82,2158,25,0.000322,0.000229
3019,8564,54,2335,16,0.000332,0.000237
2727,8734,349,2333,100,0.000332,0.000237
1778,8825,422,2246,100,0.00033,0.000236
3292,8990,363,2381,100,0.000334,0.000239
4451,9254,255,2498,71,0.00034,0.000243
4938,10036,351,2485,81,0.000341,0.000244
6852,10171,356,2577,100,0.000346,0.000247
3436,10380,269,2727,78,0.000349,0.000249
380,10795,253,2842,66,0.000352,0.000251
3356,10961,429,2894,100,0.000355,0.000253
78,11549,345,3213,100,0.000374,0.000267
2913,11607,411,3202,100,0.000373,0.000266
6270,11761,190,3109,39,0.00037,1e-06
3602,11851,89,2999,21,0.000364,0.00026
7109,11966,201,3270,50,0.000234,0.000167
1789,12263,69,2971,20,0.000364,0.00026
1406,12351,373,3073,100,0.000368,0.000263
3893,12361,360,3107,100,0.000373,0.000266
5397,12586,333,3342,88,0.000384,0.000274
2207,12710,392,3327,100,0.000384,0.000274
1378,12758,52,3273,15,0.000239,0.000171
3542,13302,228,3265,57,0.000381,0.000272
6118,13360,435,3200,100,0.000379,0.00027
4860,13509,218,4013,49,0.000414,0.000295
5142,13815,268,3782,64,0.000403,0.000287
2657,14076,272,3796,79,0.000401,0.000286
2609,14145,440,3451,100,0.000386,0.000275
4071,14230,443,3787,100,0.000399,0.000285
2392,14482,187,3941,51,0.000409,0.000292
2124,14821,46,3880,14,0.000403,1e-06
3924,15744,10,4147,9,0.000422,0.000301
1974,15843,232,4088,62,0.000418,0.000298
2593,16080,27,4223,22,0.000427,0.000305
2627,16269,99,4148,99,0.00042,0.000299
3531,16322,26,4238,7,0.000425,0.000303
314,16530,28,4352,6,0.000427,0.000304
6881,16848,527,4548,99,0.00044,0.000314
1329,16927,68,4237,21,0.00043,0.000307
1531,17451,20,4569,5,0.000444,0.000317
2649,17702,0,4765,0,0.000453,1e-06
3168,18120,3,4730,1,0.000455,0.000325
1522,18173,50,4288,13,0.000431,0.000308
2052,19324,1,5622,1,0.000492,0.000351
3844,19423,1,5110,1,0.000469,0.000334
5597,20016,28,4928,9,0.000463,0.000331
415,20087,1,4789,1,0.000455,0.000324
1181,20469,1,5224,1,0.000476,0.00034
6276,20728,1,5323,2,0.000481,0.000343
4782,20874,1,5138,2,0.000468,0.000334
784,21662,1,5606,1,0.000488,0.000348
2248,21730,216,5938,77,0.000509,0.000363
5248,21742,56,5836,57,0.000502,0.000358
5141,21768,2,5198,1,0.000473,0.000337
5471,22512,34,5625,35,0.000494,0.000352
690,22831,1,6073,1,0.000516,0.000368
3210,22884,1,5404,1,0.000483,0.000345
5707,23605,28,5480,21,0.000488,0.000348
1195,25077,0,6447,0,0.000538,0.000384
2304,25119,2,6117,1,0.000518,0.000369
2035,25279,2,6372,1,0.000534,0.000381
5538,25347,23,6420,24,0.000535,0.000381
496,27263,4,7055,2,0.000562,0.000401
1762,27835,47,6875,24,0.000556,0.000397
2440,29331,0,7198,0,0.000572,0.000408
3442,30991,0,8025,0,0.000611,0.000436
2065,31482,0,8110,0,0.000621,0.000443
5861,32658,161,8026,81,0.00062,0.000442
5994,34022,156,8708,78,0.000647,0.000462
6647,34794,0,9320,0,0.000681,0.000486
6003,35564,0,9726,0,0.000701,0.0005
7130,35930,0,8816,0,0.000651,0.000464
362,36468,0,9204,0,0.00067,0.000478
652,36727,0,8822,0,0.000651,0.000465
2256,36878,0,9410,0,0.000684,0.000488
266,37471,0,8680,0,0.000637,0.000455
4316,40493,0,10658,0,0.000747,0.000533
4641,41029,0,10187,0,0.000724,0.000516
4480,42800,0,10908,0,0.000758,0.000541
6622,45555,0,12107,0,0.000819,0.000584
6157,48038,0,12093,0,0.000815,0.000581
4568,57111,0,14201,0,0.000927,0.000661
6521,57809,0,14821,0,0.000963,0.000687
4917,63632,0,15702,0,0.001003,0.000715
1697,71691,0,19098,0,0.001178,0.00084
660,78863,0,19294,0,0.001195,0.000853
2122,79748,0,19612,0,0.00122,0.000871
5364,89413,0,21583,0,0.001329,0.000948
5266,109063,0,25722,0,0.001544,0.001102
232,166457,0,38683,0,0.002333,0.001665
6778,228821,0,0,0,0,0
