id,input_length,output_length,input_tokens,output_tokens,energy_kwh,carbon_kg
5937,2873,506,653,100,0.000299,0.000214
5888,3341,560,788,100,0.000287,0.000205
6245,3917,190,818,34,0.000288,0.000206
6728,5057,469,1132,100,0.0003,0.000214
4807,5543,382,1363,100,0.000309,0.00022
2796,7363,487,1610,99,0.000317,1e-06
4963,7554,541,1726,100,0.00032,0.000228
6413,8033,194,1853,49,0.000325,0.000232
6668,8078,408,1813,100,0.000326,0.000233
715,8154,440,1815,95,0.000315,0.000225
3019,8564,448,1999,100,0.000331,0.000236
2727,8734,462,2018,100,0.000334,0.000238
1778,8825,176,1922,43,0.00033,0.000236
3292,8990,372,2088,96,0.000338,0.000241
4451,9254,184,2145,46,0.000339,1e-06
4938,10036,549,2113,100,0.000337,0.00024
6852,10171,126,2220,33,0.000341,0.000243
3436,10380,406,2334,99,0.000345,0.000246
380,10795,141,2424,29,0.000152,0.000109
3356,10961,421,2521,100,0.000354,0.000253
78,11549,438,2705,100,0.000359,0.000256
2913,11607,506,2687,100,0.000362,0.000258
6270,11761,447,2655,100,0.000362,0.000258
3602,11851,456,2611,100,0.000361,0.000257
7109,11966,339,2753,86,0.000367,1e-06
1789,12263,69,2546,16,0.000357,0.000255
1406,12351,85,2608,20,0.000363,0.000259
3893,12361,505,2615,99,0.00036,0.000257
5397,12586,333,2861,73,0.000369,0.000263
2207,12710,432,2897,100,0.000371,0.000265
1378,12758,111,2794,24,0.000369,0.000263
3542,13302,212,2823,49,0.000371,0.000264
6118,13360,160,2743,40,0.000368,0.000262
4860,13509,450,3350,100,0.000392,0.00028
5142,13815,518,3107,100,0.000382,0.000273
2657,14076,427,3203,100,0.000386,0.000275
2609,14145,501,2999,100,0.000378,0.00027
4071,14230,171,3169,32,0.000385,0.000274
2392,14482,173,3403,41,0.000394,0.000281
2124,14821,522,3298,100,0.000391,0.000279
3924,15744,308,3561,59,0.000304,0.000217
1974,15843,232,3512,56,0.000396,1e-06
2593,16080,58,3581,18,0.000152,0.000108
2627,16269,503,3577,100,0.0004,0.000285
3531,16322,518,3652,101,0.000403,0.000288
314,16530,481,3739,100,0.000407,0.00029
6881,16848,491,3982,100,0.000419,0.000299
1329,16927,470,3675,100,0.000407,0.00029
1531,17451,512,3907,100,0.00042,0.000299
2649,17702,476,4054,100,0.000423,0.000302
3168,18120,277,4032,55,0.000281,0.000201
1522,18173,460,3774,100,0.000412,0.000294
2052,19324,350,4748,79,0.000456,0.000325
3844,19423,467,4450,100,0.000443,0.000316
5597,20016,94,4263,17,0.000167,0.000119
415,20087,494,4116,100,0.000423,0.000302
1181,20469,377,4386,100,0.000437,0.000312
6276,20728,426,4475,100,0.000439,0.000313
4782,20874,528,4299,100,0.000436,0.000311
784,21662,459,4836,100,0.000457,0.000326
2248,21730,366,5157,81,0.000469,0.000335
5248,21742,365,4977,100,0.000462,0.000329
5141,21768,428,4470,100,0.00044,0.000314
5471,22512,33,4830,12,0.000458,0.000327
690,22831,164,5239,41,0.000481,0.000343
3210,22884,374,4700,84,0.000451,0.000322
5707,23605,544,4766,100,0.000454,0.000324
1195,25077,359,5474,100,0.000483,0.000345
2304,25119,176,5348,44,0.000293,0.000209
2035,25279,224,5660,57,0.000497,0.000354
5538,25347,83,5417,16,0.000482,0.000344
496,27263,484,6206,100,0.000531,0.000379
1762,27835,243,5865,53,0.000338,0.000241
2440,29331,151,6270,35,0.000531,0.000379
3442,30991,57,7030,17,0.000234,0.000167
2065,31482,142,7095,27,0.000568,0.000405
5861,32658,449,6764,100,0.000547,0.00039
5994,34022,418,7448,100,0.000594,0.000423
6647,34794,502,7692,100,0.000596,0.000425
6003,35564,534,8265,100,0.000625,0.000446
7130,35930,450,7605,100,0.00059,0.000421
362,36468,453,7841,100,0.000609,0.000435
652,36727,484,7526,100,0.000596,0.000425
2256,36878,422,8159,100,0.000627,0.000447
266,37471,388,7776,100,0.000606,0.000433
4316,40493,84,8793,17,0.000659,0.00047
4641,41029,517,8597,100,0.00064,0.000457
4480,42800,432,9200,100,0.000675,0.000482
6622,45555,8,10663,2,0.000752,0.000537
6157,48038,442,10514,100,0.000732,0.000522
4568,57111,30,11819,8,0.000806,0.000575
6521,57809,8,12660,2,0.000849,0.000606
4917,63632,1,13249,1,0.00088,0.000627
1697,71691,3,16548,1,0.00099,0.000707
660,78863,17,17043,3,0.000943,0.000673
2122,79748,3,16953,1,0.001107,0.000789
5364,89413,12,18795,3,0.001152,0.000822
5266,109063,3,22396,1,0.000828,0.000591
232,166457,3,34121,2,0.002096,0.001495
6778,228821,2,47304,2,0.002935,0.002094
