id,input_length,output_length,input_tokens,output_tokens,energy_kwh,carbon_kg
5937,2873,438,679,100,0.000411,0.000293
5888,3341,480,820,100,0.000273,0.000195
6245,3917,548,854,100,0.000278,0.000198
6728,5057,463,1213,100,0.00029,0.000207
4807,5543,348,1440,100,0.000294,0.00021
2796,7363,433,1667,100,0.000303,0.000216
4963,7554,539,1774,100,0.000305,0.000218
6413,8033,370,1917,100,0.000314,0.000224
6668,8078,414,1867,100,0.000311,0.000222
715,8154,483,1908,99,0.000314,0.000224
3019,8564,362,2091,100,0.000318,0.000227
2727,8734,460,2079,100,0.00032,0.000228
1778,8825,447,1966,100,0.000318,0.000227
3292,8990,441,2145,100,0.000322,0.00023
4451,9254,464,2223,100,0.000327,0.000234
4938,10036,551,2189,100,0.00033,0.000236
6852,10171,475,2271,100,0.000332,0.000237
3436,10380,394,2411,100,0.000337,0.00024
380,10795,432,2510,100,0.000337,0.000241
3356,10961,372,2577,100,0.000344,0.000245
78,11549,387,2818,100,0.000351,0.00025
2913,11607,410,2860,99,0.000354,0.000253
6270,11761,441,2820,100,0.000354,0.000253
3602,11851,547,2678,100,0.000347,0.000248
7109,11966,404,2908,100,0.000356,0.000254
1789,12263,509,2639,100,0.000347,0.000247
1406,12351,518,2692,100,0.000348,0.000248
3893,12361,443,2707,100,0.000348,0.000248
5397,12586,457,2983,100,0.000354,0.000253
2207,12710,443,3006,99,0.000356,0.000254
1378,12758,455,2842,100,0.000347,0.000248
3542,13302,492,2885,100,0.000349,0.000249
6118,13360,532,2782,100,0.000349,0.000249
4860,13509,335,3577,100,0.000374,0.000267
5142,13815,558,3280,100,0.000365,0.000261
2657,14076,435,3364,100,0.000363,0.000259
2609,14145,458,3072,100,0.000358,0.000255
4071,14230,487,3380,100,0.000363,0.000259
2392,14482,402,3513,91,0.00037,0.000264
2124,14821,428,3407,100,0.000368,0.000263
3924,15744,354,3618,76,0.00037,0.000264
1974,15843,454,3597,100,0.00037,0.000264
2593,16080,355,3686,100,0.000372,0.000265
2627,16269,361,3744,72,0.000372,0.000265
3531,16322,401,3766,100,0.000372,0.000265
314,16530,452,3904,100,0.00038,0.000271
6881,16848,412,4085,100,0.00038,0.000271
1329,16927,477,3793,100,0.00038,0.000271
1531,17451,509,4105,100,0.000385,0.000274
2649,17702,385,4239,100,0.000391,0.000279
3168,18120,442,4266,100,0.000392,0.00028
1522,18173,488,3852,100,0.000382,0.000273
2052,19324,430,4994,100,0.000414,0.000295
3844,19423,422,4566,100,0.0004,0.000285
5597,20016,461,4405,100,0.000394,0.000281
415,20087,531,4209,100,0.000391,0.000279
1181,20469,534,4555,100,0.000396,0.000282
6276,20728,467,4609,100,0.000403,0.000288
4782,20874,427,4453,100,0.0004,0.000285
784,21662,388,5041,100,0.00041,0.000293
2248,21730,437,5336,100,0.000425,0.000303
5248,21742,426,5167,100,0.000424,0.000303
5141,21768,545,4606,100,0.000398,0.000284
5471,22512,504,4998,100,0.000411,0.000293
690,22831,410,5477,100,0.00044,0.000314
3210,22884,551,4759,100,0.000404,0.000288
5707,23605,457,4893,100,0.000413,0.000295
1195,25077,507,5651,100,0.000446,0.000318
2304,25119,521,5485,100,0.000438,0.000312
2035,25279,503,5789,100,0.000444,0.000317
5538,25347,511,5610,100,0.000441,0.000315
496,27263,536,6374,100,0.000471,0.000336
1762,27835,457,6089,99,0.000458,0.000327
2440,29331,524,6434,100,0.000467,0.000333
3442,30991,386,7179,100,0.000498,0.000355
2065,31482,497,7334,100,0.000507,0.000361
5861,32658,518,7053,100,0.0005,0.000357
5994,34022,547,7627,100,0.000527,0.000376
6647,34794,421,8227,100,0.000543,0.000388
6003,35564,447,8718,99,0.000563,1e-06
7130,35930,511,7769,100,0.000522,0.000373
362,36468,432,8143,100,0.000542,0.000386
652,36727,445,7663,100,0.000523,0.000373
2256,36878,395,8438,100,0.000552,0.000394
266,37471,407,7941,100,0.000529,0.000377
4316,40493,565,9350,100,0.000585,0.000417
4641,41029,465,8878,100,0.000575,0.00041
4480,42800,183,9717,34,0.000352,0.000251
6622,45555,464,10955,100,0.000649,0.000463
6157,48038,205,10712,44,0.000416,0.000297
4568,57111,432,12190,100,0.000706,0.000504
6521,57809,432,13012,100,0.000732,0.000523
4917,63632,455,13898,100,0.000777,0.000555
1697,71691,395,17315,100,0.000925,0.00066
660,78863,479,17288,100,0.000918,0.000655
2122,79748,462,17483,100,0.000926,0.00066
5364,89413,377,19603,100,0.001025,0.000731
5266,109063,350,22737,64,0.00093,0.000664
232,166457,480,34652,100,0.002126,0.001517
6778,228821,509,48298,100,0.002399,0.001711
