idx,input_len,output_len,input_tokens,output_tokens,energy_kwh,carbon_kg
3104,82,83,49,21,0.000100,0.000000
3223,82,83,49,21,0.000103,0.000000
3270,82,83,49,21,0.000105,0.000000
3304,82,34,55,10,0.000103,0.000000
3197,90,68,53,21,0.000103,0.000000
3117,99,71,57,21,0.000103,0.000000
3377,99,71,57,21,0.000103,0.000000
3247,106,70,60,21,0.000103,0.000000
3099,111,46,64,16,0.000100,0.000000
3220,118,21,67,8,0.000104,0.000000
3406,118,73,64,21,0.000103,0.000000
3310,122,72,65,21,0.000104,0.000000
3179,123,34,64,12,0.000103,0.000000
3105,124,17,60,6,0.000100,0.000000
3230,124,32,67,12,0.000104,0.000000
3173,125,18,61,7,0.000105,0.000000
3275,125,18,61,7,0.000103,0.000000
3125,127,68,69,21,0.000104,0.000000
3089,129,36,63,13,0.000102,0.000000
3323,130,78,66,21,0.000106,0.000000
3348,130,81,66,21,0.000106,0.000000
3123,134,83,63,21,0.000104,0.000000
3130,134,83,63,21,0.000102,0.000000
3185,134,83,63,21,0.000103,0.000000
3215,134,83,63,21,0.000103,0.000000
3240,134,83,63,21,0.000103,0.000000
3242,134,83,63,21,0.000103,0.000000
3319,134,83,63,21,0.000104,0.000000
3347,134,83,63,21,0.000106,0.000000
3317,135,57,66,14,0.000104,0.000000
3357,136,69,66,19,0.000104,0.000000
3149,138,53,69,16,0.000103,0.000000
3171,138,73,67,21,0.000106,0.000000
3321,138,66,70,21,0.000107,0.000000
3079,139,82,70,21,0.000102,0.000000
3092,140,71,69,21,0.000101,0.000000
3210,140,34,68,12,0.000104,0.000000
3365,140,34,68,12,0.000106,0.000000
3163,141,70,75,21,0.000103,0.000000
3289,141,70,75,21,0.000105,0.000000
3327,141,70,75,21,0.000106,0.000000
3402,141,70,75,21,0.000104,0.000000
3277,142,70,76,21,0.000106,0.000000
3325,142,36,66,13,0.000106,0.000000
3369,143,63,77,21,0.000104,0.000000
3407,144,85,68,21,0.000105,0.000000
3128,145,51,70,13,0.000103,0.000000
3252,145,39,74,13,0.000104,0.000000
3234,149,66,79,21,0.000104,0.000000
3120,152,53,75,16,0.000103,0.000000
3121,154,74,68,21,0.000102,0.000000
3403,154,70,71,21,0.000104,0.000000
3188,156,69,74,21,0.000103,0.000000
3339,156,73,70,21,0.000104,0.000000
3114,157,33,73,11,0.000102,0.000000
3156,158,87,72,21,0.000105,0.000000
3358,159,45,73,13,0.000104,0.000000
3306,160,73,71,21,0.000104,0.000000
3222,162,37,80,13,0.000104,0.000000
3385,162,29,83,8,0.000106,0.000000
3082,163,74,73,21,0.000100,0.000000
3162,166,27,77,10,0.000103,0.000000
3203,166,73,78,21,0.000106,0.000000
3166,167,72,77,21,0.000105,0.000000
3263,167,66,75,21,0.000104,0.000000
3236,173,41,79,15,0.000104,0.000000
3404,175,33,77,11,0.000104,0.000000
3096,181,63,82,19,0.000101,0.000000
3387,181,34,84,12,0.000105,0.000000
3274,182,66,81,21,0.000107,0.000000
3413,182,76,81,21,0.000105,0.000000
3374,188,92,80,21,0.000107,0.000000
3254,189,73,84,21,0.000105,0.000000
3168,190,33,81,11,0.000104,0.000000
3400,190,83,77,21,0.000104,0.000000
3094,191,66,81,21,0.000103,0.000000
3103,192,83,90,21,0.000102,0.000000
3268,192,66,82,21,0.000106,0.000000
3309,192,18,79,7,0.000104,0.000000
3100,193,28,83,8,0.000102,0.000000
3186,193,30,80,7,0.000106,0.000000
3227,193,30,80,7,0.000107,0.000000
3371,193,82,85,21,0.000107,0.000000
3077,194,66,81,16,0.000099,0.000000
3307,194,73,78,21,0.000107,0.000000
3146,195,34,86,12,0.000104,0.000000
3231,195,34,86,12,0.000107,0.000000
3355,195,72,85,21,0.000108,0.000000
3256,196,80,81,21,0.000104,0.000000
3416,196,72,85,21,0.000105,0.000000
3080,197,37,85,13,0.000100,0.000000
3257,200,83,83,21,0.000104,0.000000
3258,200,59,86,18,0.000105,0.000000
3335,204,21,89,8,0.000105,0.000000
3093,205,83,82,21,0.000103,0.000000
3145,206,33,86,11,0.000104,0.000000
3239,206,39,90,13,0.000103,0.000000
3259,206,69,89,21,0.000105,0.000000
3350,206,82,89,19,0.000107,0.000000
3086,208,78,94,21,0.000100,0.000000
3101,208,12,91,5,0.000105,0.000000
3363,208,63,89,19,0.000107,0.000000
3164,210,37,91,13,0.000106,0.000000
3271,210,60,84,17,0.000104,0.000000
3292,210,79,87,21,0.000107,0.000000
3301,210,37,91,13,0.000104,0.000000
3391,210,74,90,21,0.000105,0.000000
3293,211,37,90,13,0.000105,0.000000
3376,211,75,84,19,0.000107,0.000000
3253,212,75,88,21,0.000105,0.000000
3362,212,70,91,19,0.000105,0.000000
3158,213,17,86,6,0.000104,0.000000
3233,215,71,98,21,0.000108,0.000000
3408,215,37,89,13,0.000105,0.000000
3107,216,33,93,11,0.000105,0.000000
3238,216,79,86,21,0.000107,0.000000
3078,217,34,94,12,0.000100,0.000000
3118,218,85,89,21,0.000105,0.000000
3368,218,54,92,18,0.000107,0.000000
3097,219,70,92,21,0.000102,0.000000
3135,219,73,86,21,0.000103,0.000000
3148,220,25,90,8,0.000104,0.000000
3208,220,34,90,12,0.000107,0.000000
3313,220,66,98,21,0.000105,0.000000
3182,221,78,90,21,0.000104,0.000000
3249,221,33,90,11,0.000107,0.000000
3340,222,46,93,17,0.000105,0.000000
3134,223,37,86,13,0.000103,0.000000
3191,223,26,89,10,0.000104,0.000000
3229,223,75,90,21,0.000107,0.000000
3386,224,49,90,15,0.000107,0.000000
3122,225,68,88,21,0.000105,0.000000
3127,225,33,93,11,0.000105,0.000000
3314,225,39,91,13,0.000104,0.000000
3378,226,17,86,6,0.000107,0.000000
3206,228,83,89,21,0.000105,0.000000
3172,229,81,94,21,0.000104,0.000000
3326,229,59,99,19,0.000108,0.000000
3375,230,36,92,14,0.000107,0.000000
3414,230,46,88,13,0.000105,0.000000
3353,231,46,97,13,0.000106,0.000000
3272,233,69,87,21,0.000105,0.000000
3144,234,30,92,7,0.000103,0.000000
3147,237,55,99,16,0.000105,0.000000
3241,237,87,93,21,0.000105,0.000000
3405,237,37,91,13,0.000107,0.000000
3316,238,33,92,8,0.000106,0.000000
3415,240,74,99,21,0.000108,0.000000
3137,241,33,96,11,0.000106,0.000000
3221,241,30,93,10,0.000107,0.000000
3398,241,33,96,11,0.000104,0.000000
3139,242,34,97,12,0.000104,0.000000
3336,242,37,90,13,0.000105,0.000000
3198,243,56,99,19,0.000105,0.000000
3225,244,34,98,12,0.000106,0.000000
3345,244,37,96,13,0.000107,0.000000
3399,244,37,100,13,0.000106,0.000000
3211,245,45,94,13,0.000104,0.000000
3235,246,70,91,18,0.000107,0.000000
3396,246,63,101,21,0.000105,0.000000
3131,247,57,92,17,0.000102,0.000000
3216,247,68,95,21,0.000104,0.000000
3174,248,33,97,11,0.000107,0.000000
3372,248,46,89,13,0.000107,0.000000
3286,250,27,97,9,0.000108,0.000000
3324,250,74,96,19,0.000105,0.000000
3380,250,34,94,12,0.000104,0.000000
3370,253,32,96,10,0.000107,0.000000
3388,253,18,98,5,0.000108,0.000000
3394,253,74,101,21,0.000106,0.000000
3303,254,72,100,21,0.000108,0.000000
3342,254,37,99,13,0.000108,0.000000
3344,254,71,97,18,0.000105,0.000000
3098,255,48,97,14,0.000103,0.000000
3397,255,67,104,20,0.000108,0.000000
3155,256,69,98,21,0.000105,0.000000
3161,256,33,99,11,0.000105,0.000000
3088,257,78,98,19,0.000104,0.000000
3312,259,34,98,12,0.000106,0.000000
3352,261,59,93,14,0.000105,0.000000
3412,261,35,107,13,0.000106,0.000000
3141,266,57,99,17,0.000104,0.000000
3276,267,48,100,14,0.000108,0.000000
3255,269,31,94,11,0.000105,0.000000
3278,270,70,106,18,0.000105,0.000000
3281,270,69,111,21,0.000108,0.000000
3189,271,71,107,21,0.000108,0.000000
3095,273,86,105,21,0.000105,0.000000
3154,273,34,105,12,0.000105,0.000000
3076,275,68,96,18,0.000209,0.000000
3102,275,58,96,15,0.000102,0.000000
3132,275,58,96,15,0.000103,0.000000
3160,275,23,98,8,0.000107,0.000000
3410,275,37,104,13,0.000108,0.000000
3111,276,35,111,13,0.000106,0.000000
3232,276,37,101,13,0.000108,0.000000
3341,276,73,100,19,0.000106,0.000000
3108,277,34,110,12,0.000104,0.000000
3297,277,48,104,14,0.000108,0.000000
3126,278,37,104,13,0.000104,0.000000
3192,278,37,111,13,0.000108,0.000000
3260,278,37,104,13,0.000106,0.000000
3265,278,37,104,13,0.000106,0.000000
3200,279,49,104,16,0.000106,0.000000
3218,279,56,110,15,0.000105,0.000000
3361,279,36,114,13,0.000106,0.000000
3280,280,33,108,11,0.000109,0.000000
3269,281,37,113,13,0.000108,0.000000
3084,283,76,101,19,0.000104,0.000000
3219,285,80,108,21,0.000108,0.000000
3283,286,43,102,13,0.000108,0.000000
3315,286,59,113,19,0.000109,0.000000
3150,287,30,107,7,0.000107,0.000000
3282,290,78,110,21,0.000108,0.000000
3359,290,76,105,21,0.000106,0.000000
3366,290,37,102,13,0.000108,0.000000
3251,291,37,110,13,0.000108,0.000000
3214,294,32,112,10,0.000108,0.000000
3401,294,73,114,21,0.000109,0.000000
3354,295,6,100,5,0.000106,0.000000
3384,295,76,109,21,0.000108,0.000000
3261,297,70,115,21,0.000106,0.000000
3170,298,33,109,11,0.000105,0.000000
3207,300,33,110,11,0.000106,0.000000
3349,300,33,103,11,0.000108,0.000000
3418,300,33,103,11,0.000108,0.000000
3228,302,30,115,12,0.000109,0.000000
3356,304,67,120,19,0.000106,0.000000
3112,305,91,111,21,0.000106,0.000000
3226,305,71,118,21,0.000108,0.000000
3305,309,37,118,13,0.000109,0.000000
3382,310,36,129,14,0.000111,0.000000
3124,311,33,110,11,0.000107,0.000000
3153,312,30,109,7,0.000108,0.000000
3294,312,14,113,6,0.000106,0.000000
3250,314,70,116,21,0.000109,0.000000
3296,314,33,122,11,0.000109,0.000000
3167,315,74,112,19,0.000105,0.000000
3267,315,72,117,19,0.000109,0.000000
3175,316,33,112,11,0.000108,0.000000
3395,316,69,116,21,0.000109,0.000000
3360,317,33,118,11,0.000109,0.000000
3290,318,37,114,13,0.000106,0.000000
3177,320,52,114,19,0.000105,0.000000
3244,320,33,110,11,0.000108,0.000000
3300,320,27,110,9,0.000106,0.000000
3379,322,72,116,21,0.000109,0.000000
3318,326,32,118,12,0.000109,0.000000
3333,330,53,120,20,0.000107,0.000000
3329,334,85,118,21,0.000106,0.000000
3383,334,75,122,19,0.000109,0.000000
3248,337,35,114,11,0.000106,0.000000
3106,338,66,121,19,0.000104,0.000000
3332,339,69,123,21,0.000109,0.000000
3184,343,65,133,21,0.000111,0.000000
3322,343,84,121,21,0.000109,0.000000
3346,343,76,125,21,0.000109,0.000000
3138,346,84,124,21,0.000107,0.000000
3176,346,84,124,21,0.000105,0.000000
3364,346,84,124,21,0.000109,0.000000
3087,349,71,127,19,0.000103,0.000000
3201,349,57,118,17,0.000106,0.000000
3194,351,69,123,19,0.000109,0.000000
3266,355,62,127,20,0.000109,0.000000
3338,357,72,123,21,0.000109,0.000000
3308,361,74,125,20,0.000109,0.000000
3133,363,15,135,8,0.000111,0.000000
3159,363,37,127,13,0.000106,0.000000
3199,364,49,134,17,0.000111,0.000000
3417,366,62,133,19,0.000112,0.000000
3224,370,48,124,14,0.000107,0.000000
3367,370,45,127,13,0.000109,0.000000
3119,371,33,131,11,0.000110,0.000000
3381,374,79,126,19,0.000107,0.000000
3205,375,14,137,6,0.000111,0.000000
3181,376,33,132,11,0.000111,0.000000
3136,378,71,135,20,0.000110,0.000000
3083,379,33,134,11,0.000107,0.000000
3291,379,67,125,19,0.000108,0.000000
3157,382,68,120,19,0.000108,0.000000
3299,384,82,126,21,0.000107,0.000000
3143,385,46,131,13,0.000110,0.000000
3264,394,66,147,18,0.000111,0.000000
3373,394,72,130,19,0.000112,0.000000
