idx,input_len,output_len,input_tokens,output_tokens,energy_kwh,carbon_kg
3104,82,18,48,5,0.000110,0.000000
3223,82,18,48,5,0.000112,0.000000
3270,82,18,48,5,0.000115,0.000000
3304,82,18,53,6,0.000114,0.000000
3197,90,18,51,5,0.000114,0.000000
3117,99,75,56,21,0.000108,0.000000
3377,99,75,56,21,0.000112,0.000000
3247,106,31,58,9,0.000115,0.000000
3099,111,37,62,13,0.000110,0.000000
3220,118,4,63,3,0.000115,0.000000
3406,118,16,62,5,0.000115,0.000000
3310,122,31,64,9,0.000114,0.000000
3179,123,34,62,11,0.000111,0.000000
3105,124,17,58,6,0.000110,0.000000
3230,124,29,67,9,0.000113,0.000000
3173,125,18,58,6,0.000111,0.000000
3275,125,18,58,6,0.000115,0.000000
3125,127,39,68,13,0.000113,0.000000
3089,129,21,60,6,0.000109,0.000000
3323,130,72,64,21,0.000115,0.000000
3348,130,30,65,9,0.000115,0.000000
3123,134,31,61,8,0.000109,0.000000
3130,134,31,61,8,0.000112,0.000000
3185,134,31,61,8,0.000115,0.000000
3215,134,31,61,8,0.000112,0.000000
3240,134,31,61,8,0.000115,0.000000
3242,134,31,61,8,0.000112,0.000000
3319,134,31,61,8,0.000111,0.000000
3347,134,31,61,8,0.000114,0.000000
3317,135,32,66,10,0.000116,0.000000
3357,136,67,67,17,0.000115,0.000000
3149,138,37,70,13,0.000111,0.000000
3171,138,20,64,6,0.000114,0.000000
3321,138,39,68,13,0.000116,0.000000
3079,139,37,69,13,0.000108,0.000000
3092,140,75,69,21,0.000109,0.000000
3210,140,34,66,11,0.000116,0.000000
3365,140,34,66,11,0.000116,0.000000
3163,141,12,72,3,0.000115,0.000000
3289,141,12,72,3,0.000115,0.000000
3327,141,12,72,3,0.000116,0.000000
3402,141,12,72,3,0.000114,0.000000
3277,142,13,73,4,0.000116,0.000000
3325,142,34,63,11,0.000115,0.000000
3369,143,55,74,21,0.000113,0.000000
3407,144,23,67,6,0.000116,0.000000
3128,145,17,67,5,0.000114,0.000000
3252,145,51,72,17,0.000116,0.000000
3234,149,37,76,13,0.000116,0.000000
3120,152,37,75,13,0.000112,0.000000
3121,154,18,67,5,0.000113,0.000000
3403,154,82,70,21,0.000116,0.000000
3188,156,73,72,21,0.000116,0.000000
3339,156,32,70,10,0.000116,0.000000
3114,157,33,72,11,0.000113,0.000000
3156,158,34,70,11,0.000115,0.000000
3358,159,33,72,11,0.000113,0.000000
3306,160,32,70,10,0.000115,0.000000
3222,162,37,80,13,0.000118,0.000000
3385,162,23,82,9,0.000117,0.000000
3082,163,27,72,9,0.000108,0.000000
3162,166,32,75,10,0.000116,0.000000
3203,166,34,75,11,0.000117,0.000000
3166,167,37,76,13,0.000115,0.000000
3263,167,27,74,9,0.000116,0.000000
3236,173,18,77,5,0.000116,0.000000
3404,175,33,76,11,0.000116,0.000000
3096,181,41,82,15,0.000110,0.000000
3387,181,34,81,11,0.000116,0.000000
3274,182,26,80,9,0.000113,0.000000
3413,182,37,80,13,0.000117,0.000000
3374,188,34,77,11,0.000116,0.000000
3254,189,77,82,21,0.000117,0.000000
3168,190,33,79,10,0.000116,0.000000
3400,190,18,75,5,0.000117,0.000000
3094,191,27,79,9,0.000110,0.000000
3103,192,21,90,8,0.000113,0.000000
3268,192,24,80,6,0.000116,0.000000
3309,192,18,78,6,0.000116,0.000000
3100,193,28,82,8,0.000111,0.000000
3186,193,18,78,5,0.000113,0.000000
3227,193,18,78,5,0.000117,0.000000
3371,193,23,84,6,0.000116,0.000000
3077,194,62,82,17,0.000107,0.000000
3307,194,18,77,5,0.000116,0.000000
3146,195,34,84,11,0.000115,0.000000
3231,195,34,84,11,0.000117,0.000000
3355,195,7,83,3,0.000116,0.000000
3256,196,34,79,11,0.000116,0.000000
3416,196,30,84,7,0.000117,0.000000
3080,197,37,84,13,0.000109,0.000000
3257,200,19,81,7,0.000117,0.000000
3258,200,59,84,17,0.000117,0.000000
3335,204,19,85,7,0.000117,0.000000
3093,205,18,79,5,0.000110,0.000000
