idx,input_len,output_len,input_tokens,output_tokens,energy_kwh,carbon_kg
3104,82,46,42,10,0.000068,0.000048
3223,82,46,42,10,0.000072,0.000051
3270,82,46,42,10,0.000072,0.000051
3304,82,60,45,16,0.000094,0.000067
3197,90,23,44,5,0.000053,0.000000
3117,99,59,49,15,0.000089,0.000064
3377,99,59,49,15,0.000091,0.000065
3247,106,52,48,10,0.000069,0.000049
3099,111,43,52,12,0.000078,0.000056
3220,118,71,52,16,0.000094,0.000067
3406,118,52,54,14,0.000086,0.000061
3310,122,93,51,20,0.000107,0.000076
3179,123,60,51,15,0.000091,0.000065
3105,124,52,50,11,0.000073,0.000052
3230,124,29,56,7,0.000061,0.000043
3173,125,52,50,11,0.000074,0.000053
3275,125,52,50,11,0.000075,0.000053
3125,127,40,55,9,0.000068,0.000049
3089,129,41,52,8,0.000062,0.000044
3323,130,74,54,18,0.000102,0.000073
3348,130,92,55,19,0.000105,0.000075
3123,134,46,55,9,0.000068,0.000000
3130,134,46,55,9,0.000068,0.000049
3185,134,46,55,9,0.000066,0.000047
3215,134,46,55,9,0.000069,0.000049
3240,134,46,55,9,0.000067,0.000047
3242,134,46,55,9,0.000067,0.000047
3319,134,46,55,9,0.000069,0.000049
3347,134,46,55,9,0.000067,0.000048
3317,135,77,59,17,0.000100,0.000071
3357,136,89,54,20,0.000105,0.000075
3149,138,69,58,20,0.000106,0.000076
3171,138,30,54,6,0.000056,0.000040
3321,138,40,54,9,0.000067,0.000048
3079,139,40,56,9,0.000064,0.000046
3092,140,78,59,20,0.000104,0.000074
3210,140,34,55,8,0.000063,0.000045
3365,140,34,55,8,0.000064,0.000046
3163,141,28,62,6,0.000055,0.000039
3289,141,28,62,6,0.000058,0.000042
3327,141,28,62,6,0.000056,0.000040
3402,141,28,62,6,0.000056,0.000040
3277,142,28,62,6,0.000056,0.000040
3325,142,41,54,8,0.000061,0.000044
3369,143,28,64,6,0.000056,0.000040
3407,144,87,58,20,0.000107,0.000077
3128,145,47,57,12,0.000077,0.000055
3252,145,38,57,8,0.000061,0.000044
3234,149,86,63,20,0.000105,0.000075
3120,152,59,65,16,0.000093,0.000066
3121,154,81,58,20,0.000106,0.000075
3403,154,71,63,20,0.000105,0.000075
3188,156,70,61,18,0.000102,0.000073
3339,156,83,59,17,0.000099,0.000071
3114,157,40,58,9,0.000065,0.000046
3156,158,69,59,16,0.000094,0.000067
3358,159,47,59,11,0.000077,0.000055
3306,160,83,60,17,0.000099,0.000071
3222,162,58,62,12,0.000075,0.000053
3385,162,37,66,10,0.000068,0.000049
3082,163,73,60,20,0.000104,0.000074
3162,166,66,66,17,0.000099,0.000071
3203,166,63,62,14,0.000088,0.000063
3166,167,31,62,8,0.000061,0.000043
3263,167,56,62,10,0.000072,0.000051
3236,173,61,68,13,0.000081,0.000058
3404,175,61,67,13,0.000084,0.000060
3096,181,47,69,13,0.000079,0.000056
3387,181,56,68,13,0.000084,0.000060
3274,182,28,68,6,0.000057,0.000041
3413,182,31,66,8,0.000065,0.000046
3374,188,81,65,20,0.000109,0.000077
3254,189,59,73,15,0.000093,0.000066
3168,190,64,66,16,0.000097,0.000069
3400,190,42,64,9,0.000067,0.000047
3094,191,53,67,13,0.000082,0.000058
3103,192,58,71,12,0.000079,0.000057
3268,192,41,69,8,0.000065,0.000046
3309,192,91,69,20,0.000109,0.000077
3100,193,52,68,10,0.000071,0.000050
3186,193,42,67,9,0.000068,0.000048
3227,193,42,67,9,0.000069,0.000050
3371,193,40,69,9,0.000070,0.000050
3077,194,42,71,10,0.000070,0.000050
3307,194,90,67,20,0.000109,0.000077
3146,195,44,70,11,0.000075,0.000054
3231,195,44,70,11,0.000076,0.000054
3355,195,47,65,9,0.000067,0.000048
3256,196,60,66,14,0.000089,0.000064
3416,196,41,70,9,0.000068,0.000048
3080,197,46,68,9,0.000065,0.000046
3257,200,41,66,8,0.000065,0.000046
3258,200,30,70,8,0.000065,0.000047
3335,204,62,72,13,0.000087,0.000062
3093,205,42,69,9,0.000068,0.000049
3145,206,49,72,11,0.000075,0.000054
3239,206,74,74,21,0.000109,0.000078
3259,206,54,72,12,0.000081,0.000058
3350,206,62,69,14,0.000087,0.000062
3086,208,46,78,14,0.000084,0.000060
3101,208,46,79,11,0.000076,0.000055
3363,208,65,77,16,0.000095,0.000068
3164,210,73,78,20,0.000106,0.000076
3271,210,47,70,11,0.000076,0.000054
3292,210,60,72,13,0.000084,0.000060
3301,210,73,78,20,0.000109,0.000078
3391,210,40,74,9,0.000070,0.000050
3293,211,30,74,6,0.000057,0.000041
3376,211,91,72,20,0.000106,0.000076
3253,212,78,75,20,0.000108,0.000077
3362,212,82,72,21,0.000106,0.000075
3158,213,60,70,15,0.000092,0.000065
3233,215,68,76,18,0.000104,0.000074
3408,215,40,71,9,0.000068,0.000048
3107,216,68,71,14,0.000085,0.000061
3238,216,42,70,10,0.000070,0.000050
3078,217,44,75,9,0.000065,0.000047
3118,218,40,71,9,0.000069,0.000049
3368,218,54,73,14,0.000084,0.000060
3097,219,52,74,12,0.000079,0.000057
