id,input_length,output_length,input_tokens,output_tokens,energy_kwh,carbon_kg
uksc-2018-0030,10634,95,2514,18,0.000459,0.000327
uksc-2014-0023,15163,358,3561,100,0.000368,0.000263
uksc-2013-0158,17972,10,4190,3,0.000404,0.000288
uksc-2012-0162,18082,78,4593,14,0.000423,0.000302
uksc-2017-0006,19136,555,4585,99,0.000423,0.000302
uksc-2012-0181,21288,1,5081,1,0.000452,0.000322
uksc-2012-0072,21891,90,5249,30,0.00046,0.000328
uksc-2009-0129,23243,2,5776,1,0.000489,0.000349
uksc-2017-0040,24103,3,6167,2,0.000503,0.000359
uksc-2017-0031,24682,1,5906,1,0.000498,0.000355
uksc-2012-0007,24727,2,5846,1,0.000495,0.000353
uksc-2013-0273,25240,12,6646,9,0.000533,0.00038
uksc-2015-0082,25529,37,6059,16,0.000503,0.000359
uksc-2016-0210,25987,0,6221,0,0.000518,0.00037
uksc-2016-0052,26052,1,6388,1,0.000527,0.000376
uksc-2011-0233,27887,0,7008,0,0.000567,0.000405
uksc-2012-0143,28686,0,7132,0,0.000568,0.000405
uksc-2015-0255,29619,46,7162,46,0.00057,0.000406
uksc-2018-0164,29680,0,7201,0,0.000575,0.00041
uksc-2012-0250,33142,0,8020,0,0.000618,0.000441
uksc-2016-0048,33821,0,8086,0,0.000625,1e-06
uksc-2011-0117,34532,0,8044,0,0.000617,0.00044
uksc-2014-0110,35207,0,9108,0,0.000669,0.000478
uksc-2014-0159,35659,0,8837,0,0.000659,0.00047
uksc-2018-0132,36055,0,8753,0,0.000648,0.000462
uksc-2010-0244,37541,0,8816,0,0.000651,0.000464
uksc-2011-0046,37664,0,8534,0,0.000638,0.000455
uksc-2009-0152,37881,0,9247,0,0.000673,0.00048
uksc-2014-0094,38082,0,8894,0,0.000659,0.00047
uksc-2010-0154,38565,0,8853,0,0.000655,0.000467
uksc-2017-0073,38813,0,8784,0,0.000644,0.00046
uksc-2010-0231,41152,0,9871,0,0.000705,0.000503
uksc-2014-0089,41611,0,9584,0,0.000693,0.000494
uksc-2010-0189,43306,0,9750,0,0.000707,0.000504
uksc-2018-0099,44052,0,9839,0,0.000708,0.000505
uksc-2011-0244,44308,0,10753,0,0.000751,0.000536
uksc-2010-0039,44470,0,10462,0,0.000732,0.000522
