id,input_length,output_length,input_tokens,output_tokens,energy_kwh,carbon_kg
uksc-2018-0030,10634,498,2149,100,0.000353,0.000252
uksc-2014-0023,15163,458,3033,100,0.000367,0.000262
uksc-2013-0158,17972,470,3608,100,0.000389,0.000278
uksc-2012-0162,18082,187,3835,42,0.000399,0.000285
uksc-2017-0006,19136,435,4066,100,0.00041,0.000292
uksc-2012-0181,21288,496,4359,100,0.000427,0.000305
uksc-2012-0072,21891,545,4436,100,0.000427,0.000305
uksc-2009-0129,23243,495,4879,100,0.000449,0.00032
uksc-2017-0040,24103,448,5150,97,0.00046,0.000328
uksc-2017-0031,24682,296,5106,53,0.000305,0.000217
uksc-2012-0007,24727,429,4946,76,0.000452,0.000323
uksc-2013-0273,25240,444,5624,100,0.000486,0.000347
uksc-2015-0082,25529,522,5192,100,0.000469,0.000335
uksc-2016-0210,25987,288,5358,62,0.000476,0.00034
uksc-2016-0052,26052,169,5518,33,0.000481,0.000343
uksc-2011-0233,27887,498,5925,100,0.000504,0.00036
uksc-2012-0143,28686,524,5934,100,0.000509,0.000363
uksc-2015-0255,29619,62,6261,15,0.00053,0.000378
uksc-2018-0164,29680,438,6077,100,0.000514,0.000367
uksc-2012-0250,33142,428,6928,79,0.00056,0.0004
uksc-2016-0048,33821,161,6893,30,0.000563,0.000402
uksc-2011-0117,34532,385,6938,68,0.00056,0.000399
uksc-2014-0110,35207,499,7663,100,0.00059,0.000421
uksc-2014-0159,35659,236,7586,47,0.000589,0.00042
uksc-2018-0132,36055,509,7499,100,0.000592,0.000422
uksc-2010-0244,37541,190,7637,37,0.000335,0.000239
uksc-2011-0046,37664,19,7530,5,0.000596,0.000425
uksc-2009-0152,37881,407,7934,100,0.000612,0.000437
uksc-2014-0094,38082,590,7537,100,0.000591,0.000422
uksc-2010-0154,38565,256,7731,47,0.000599,0.000427
uksc-2017-0073,38813,222,7626,51,0.000392,0.00028
uksc-2010-0231,41152,177,8659,44,0.000642,0.000458
uksc-2014-0089,41611,387,8196,100,0.00062,0.000442
uksc-2010-0189,43306,169,8577,29,0.000641,0.000458
uksc-2018-0099,44052,91,8607,16,0.000641,0.000457
uksc-2011-0244,44308,8,9150,4,0.000676,0.000483
uksc-2010-0039,44470,571,9091,100,0.000674,0.000481
uksc-2015-0238,45072,35,9311,9,0.000675,0.000482
uksc-2017-0096,45250,520,9641,100,0.00069,0.000492
uksc-2010-0127,46089,25,9657,6,0.000688,0.000491
uksc-2017-0075,46095,499,9790,100,0.000706,0.000504
uksc-2014-0138,46300,513,9405,99,0.000679,0.000485
uksc-2013-0036,46878,347,9690,100,0.000693,0.000495
uksc-2017-0160,47525,624,9769,100,0.000708,0.000505
uksc-2012-0109,48343,14,9568,3,0.000688,0.000491
uksc-2013-0161,48964,18,10179,5,0.000719,0.000513
uksc-2012-0124,49347,386,10085,100,0.000731,0.000521
uksc-2014-0087,49426,468,10331,100,0.00073,0.000521
uksc-2017-0115,50924,473,10392,100,0.000742,0.000529
uksc-2012-0025,51896,27,10515,4,0.000735,0.000524
uksc-2019-0001,56059,3,11616,1,0.000797,0.000568
uksc-2013-0083,57012,3,12183,1,0.000826,0.00059
uksc-2009-0118,59955,5,13335,2,0.00092,0.000657
uksc-2018-0225,59975,9,12145,2,0.000837,0.000597
uksc-2018-0140,63529,3,13216,1,0.000883,0.00063
uksc-2011-0011,63666,3,13135,1,0.000875,0.000625
uksc-2012-0179,64024,10,12959,3,0.000506,0.000361
uksc-2010-0201,67182,4,13544,1,0.000894,0.000638
uksc-2014-0231,67946,6,13734,2,0.000905,0.000646
uksc-2010-0236,68447,19,14225,5,0.000938,0.000669
uksc-2015-0177,70201,3,15160,1,0.000949,0.000677
uksc-2010-0128,70244,3,14820,1,0.000367,0.000262
uksc-2011-0196,73582,3,16412,1,0.001031,0.000735
uksc-2016-0213,74067,2,15843,1,0.001009,0.00072
uksc-2017-0110,74426,3,15366,1,0.000993,0.000708
uksc-2018-0131,82597,11,16820,2,0.001071,0.000764
uksc-2013-0266,84659,3,16843,1,0.001107,0.00079
uksc-2012-0247,89087,101,17781,18,0.00111,0.000792
uksc-2015-0214,89425,6,18162,2,0.000925,0.00066
uksc-2015-0057,91954,199,19010,44,0.001167,0.000832
uksc-2016-0004,94481,23,18682,5,0.001151,0.000821
uksc-2011-0260,96676,39,20672,7,0.000586,0.000418
uksc-2017-0214,96750,5,20223,3,0.001297,0.000925
uksc-2016-0080,99297,36,20527,9,0.001321,0.000942
uksc-2017-0083,100170,63,20450,16,0.001313,0.000937
uksc-2013-0006,100970,3,20167,1,0.001279,0.000912
uksc-2009-0180,102302,179,22174,52,0.001397,0.000997
uksc-2011-0024,102310,32,21214,12,0.000807,0.000576
uksc-2014-0073,112085,3,23127,1,0.001455,0.001038
uksc-2009-0167,114051,15,24473,6,0.001504,0.001073
uksc-2011-0115,114082,26,23315,11,0.001459,0.001041
uksc-2017-0106,115738,314,23210,100,0.001456,0.001039
uksc-2015-0216,118742,2,24255,2,0.001517,0.001082
