id,input_length,output_length,input_tokens,output_tokens,energy_kwh,carbon_kg
uksc-2018-0030,10634,137,2436,35,0.00027,0.000193
uksc-2014-0023,15163,191,3450,56,0.000373,0.000266
uksc-2013-0158,17972,242,4061,51,0.000417,0.000298
uksc-2012-0162,18082,176,4385,47,0.000456,0.000325
uksc-2017-0006,19136,277,4511,68,0.000463,0.00033
uksc-2012-0181,21288,136,4924,31,0.000494,0.000352
uksc-2012-0072,21891,184,5139,37,0.000511,0.000365
uksc-2009-0129,23243,24,5529,5,0.000333,0.000237
uksc-2017-0040,24103,116,5921,23,0.000565,0.000403
uksc-2017-0031,24682,22,5705,5,0.000485,0.000346
uksc-2012-0007,24727,210,5678,42,0.00055,0.000392
uksc-2013-0273,25240,59,6444,11,0.000602,0.000429
uksc-2015-0082,25529,222,5874,51,0.000567,0.000404
uksc-2016-0210,25987,88,6038,15,0.000578,0.000412
uksc-2016-0052,26052,98,6233,32,0.000596,0.000425
uksc-2011-0233,27887,97,6871,28,0.000639,0.000456
uksc-2012-0143,28686,411,7007,99,0.000637,0.000454
uksc-2015-0255,29619,22,6981,5,0.000635,0.000453
uksc-2018-0164,29680,148,6938,35,0.000631,0.00045
uksc-2012-0250,33142,144,7902,30,0.000706,0.000504
uksc-2016-0048,33821,96,7869,19,0.000697,0.000497
uksc-2011-0117,34532,102,7780,21,0.000697,0.000498
uksc-2014-0110,35207,171,8891,44,0.000761,0.000543
uksc-2014-0159,35659,24,8624,5,0.000535,0.000382
uksc-2018-0132,36055,106,8489,25,0.000746,0.000532
uksc-2010-0244,37541,171,8556,35,0.000754,0.000538
uksc-2011-0046,37664,361,8295,69,0.000728,0.000519
uksc-2009-0152,37881,378,8993,82,0.000774,0.000552
uksc-2014-0094,38082,125,8604,26,0.000749,0.000534
uksc-2010-0154,38565,201,8600,39,0.000747,0.000533
uksc-2017-0073,38813,214,8542,55,0.000751,0.000536
uksc-2010-0231,41152,68,9619,15,0.00083,0.000592
uksc-2014-0089,41611,121,9227,32,0.000808,0.000576
uksc-2010-0189,43306,272,9536,60,0.000831,0.000593
uksc-2018-0099,44052,119,9630,33,0.000834,0.000595
uksc-2011-0244,44308,195,10392,47,0.000899,0.000641
uksc-2010-0039,44470,304,10139,59,0.00087,0.000621
uksc-2015-0238,45072,116,10358,26,0.000878,0.000627
uksc-2017-0096,45250,85,10840,19,0.000914,0.000652
uksc-2010-0127,46089,170,10974,35,0.00093,0.000664
uksc-2017-0075,46095,243,11138,55,0.000938,0.000669
uksc-2014-0138,46300,147,10548,37,0.000891,0.000636
uksc-2013-0036,46878,178,10757,49,0.000906,0.000647
uksc-2017-0160,47525,173,10881,40,0.00092,0.000656
uksc-2012-0109,48343,82,10869,25,0.000917,0.000654
uksc-2013-0161,48964,36,11469,10,0.000985,0.000703
uksc-2012-0124,49347,205,11548,53,0.000972,0.000693
uksc-2014-0087,49426,151,11552,30,0.000964,0.000688
uksc-2017-0115,50924,106,11880,24,0.000997,0.000711
uksc-2012-0025,51896,25,11834,6,0.000993,0.000709
uksc-2019-0001,56059,133,12930,27,0.001111,0.000793
uksc-2013-0083,57012,22,13685,5,0.001134,0.000809
uksc-2009-0118,59955,181,15251,41,0.001302,0.000929
uksc-2018-0225,59975,342,13529,66,0.001123,0.000801
uksc-2018-0140,63529,165,15218,49,0.001252,0.000893
uksc-2011-0011,63666,146,15133,36,0.001242,0.000886
uksc-2012-0179,64024,134,14851,26,0.001235,0.000881
uksc-2010-0201,67182,28,15022,6,0.001231,0.000879
uksc-2014-0231,67946,146,15603,37,0.001316,0.000939
