id,input_length,output_length,input_tokens,output_tokens,energy_kwh,carbon_kg
uksc-2018-0030,10634,564,2219,100,0.000447,0.000319
uksc-2014-0023,15163,430,3110,100,0.000337,0.00024
uksc-2013-0158,17972,462,3722,100,0.00036,0.000257
uksc-2012-0162,18082,366,3989,83,0.000372,0.000266
uksc-2017-0006,19136,477,4131,100,0.000377,0.000269
uksc-2012-0181,21288,462,4521,100,0.000391,0.000279
uksc-2012-0072,21891,510,4579,100,0.000391,0.000279
uksc-2009-0129,23243,568,5023,100,0.00041,0.000292
uksc-2017-0040,24103,499,5426,100,0.00043,1e-06
uksc-2017-0031,24682,400,5282,100,0.000423,0.000302
uksc-2012-0007,24727,570,5110,100,0.000415,0.000296
uksc-2013-0273,25240,443,5885,100,0.000445,0.000318
uksc-2015-0082,25529,482,5302,100,0.000426,0.000304
uksc-2016-0210,25987,537,5521,100,0.000436,0.000311
uksc-2016-0052,26052,542,5706,100,0.000448,0.00032
uksc-2011-0233,27887,444,6196,100,0.000458,0.000327
uksc-2012-0143,28686,540,6176,100,0.000457,0.000326
uksc-2015-0255,29619,475,6415,100,0.000469,0.000335
uksc-2018-0164,29680,340,6278,99,0.000467,0.000333
uksc-2012-0250,33142,527,7174,100,0.000501,0.000357
uksc-2016-0048,33821,514,7172,100,0.000501,0.000357
uksc-2011-0117,34532,458,7134,87,0.000503,0.000359
uksc-2014-0110,35207,467,8036,100,0.000532,0.000379
uksc-2014-0159,35659,422,7975,100,0.000526,0.000375
uksc-2018-0132,36055,466,7697,100,0.000515,0.000367
uksc-2010-0244,37541,536,7847,100,0.000531,0.000379
uksc-2011-0046,37664,508,7705,100,0.000514,0.000367
uksc-2009-0152,37881,425,8280,100,0.000535,0.000382
uksc-2014-0094,38082,640,7781,100,0.000519,0.00037
uksc-2010-0154,38565,476,7899,100,0.000532,0.000379
uksc-2017-0073,38813,538,7796,100,0.00052,0.000371
uksc-2010-0231,41152,425,8899,100,0.000567,0.000405
uksc-2014-0089,41611,462,8374,100,0.000548,0.000391
uksc-2010-0189,43306,532,8781,100,0.000555,0.000396
uksc-2018-0099,44052,485,8886,100,0.000569,0.000406
uksc-2011-0244,44308,387,9455,100,0.000579,0.000413
uksc-2010-0039,44470,492,9363,100,0.000578,0.000412
uksc-2015-0238,45072,461,9567,100,0.000589,0.00042
uksc-2017-0096,45250,525,9948,100,0.0006,0.000428
uksc-2010-0127,46089,422,9925,100,0.000604,0.000431
uksc-2017-0075,46095,419,10196,100,0.000616,0.000439
uksc-2014-0138,46300,549,9644,100,0.000597,0.000426
uksc-2013-0036,46878,466,9958,86,0.000609,0.000435
uksc-2017-0160,47525,410,10056,100,0.00061,0.000435
uksc-2012-0109,48343,548,9838,100,0.000602,0.00043
uksc-2013-0161,48964,540,10572,100,0.000642,0.000458
uksc-2012-0124,49347,474,10510,100,0.000634,0.000452
uksc-2014-0087,49426,530,10582,100,0.00064,0.000456
uksc-2017-0115,50924,535,10693,100,0.000633,0.000452
uksc-2012-0025,51896,524,10785,100,0.000644,0.000459
uksc-2019-0001,56059,418,11969,100,0.000688,0.000491
uksc-2013-0083,57012,401,12621,100,0.000715,0.00051
uksc-2009-0118,59955,481,13763,100,0.000767,0.000547
uksc-2018-0225,59975,120,12382,23,0.000702,0.000501
uksc-2018-0140,63529,540,13653,100,0.00076,0.000542
uksc-2011-0011,63666,561,13538,100,0.00076,0.000542
uksc-2012-0179,64024,82,13560,19,0.000757,0.00054
uksc-2010-0201,67182,535,13948,100,0.000777,0.000554
uksc-2014-0231,67946,544,14210,100,0.000789,0.000563
uksc-2010-0236,68447,507,14829,100,0.000816,0.000582
uksc-2015-0177,70201,454,15932,100,0.000863,0.000616
uksc-2010-0128,70244,422,15444,100,0.000839,0.000599
uksc-2011-0196,73582,431,16881,100,0.000896,0.000639
uksc-2016-0213,74067,473,16202,100,0.000873,0.000623
uksc-2017-0110,74426,465,15809,100,0.000859,0.000613
uksc-2018-0131,82597,143,17189,29,0.000909,0.000648
uksc-2013-0266,84659,575,17220,100,0.000907,0.000647
uksc-2012-0247,89087,459,18304,100,0.000952,0.000679
