id,input_length,output_length,input_tokens,output_tokens,energy_kwh,carbon_kg
38859956,5010,395,1170,81,0.000643,0.000459
22131316,5016,111,1245,25,0.000548,1e-06
35826768,5020,151,1232,37,0.000406,1e-06
35858101,5020,97,1299,18,0.00057,0.000407
36373299,5022,177,1258,54,0.000561,0.0004
32371348,5029,138,1412,41,0.000592,0.000422
12570045,5040,187,1233,55,0.000566,0.000404
37581974,5054,149,1425,39,0.000598,0.000427
34956536,5061,146,1463,45,0.000604,0.000431
35339947,5063,149,1268,35,0.000576,0.000411
13017879,5074,129,1206,37,0.000565,0.000403
11375357,5079,125,1230,27,0.000578,0.000412
37271465,5080,169,1277,44,0.000583,0.000416
29895786,5082,327,1358,80,0.000597,0.000426
29999399,5086,29,1459,12,0.000619,0.000441
32162021,5086,62,1281,14,0.0006,0.000428
30931445,5088,226,1282,58,0.000602,1e-06
37543638,5100,108,1229,28,0.000589,0.00042
38048885,5104,165,1307,48,0.000604,1e-06
26114379,5123,99,1283,24,0.000605,1e-06
27342757,5125,207,1269,41,0.000598,0.000426
17455067,5134,443,1316,101,0.000613,0.000437
36961338,5141,99,1292,29,0.000608,0.000434
36101150,5145,162,1278,34,0.000598,0.000427
40280345,5149,159,1381,31,0.000613,0.000437
36373851,5149,217,1334,50,0.00061,0.000435
40306937,5152,409,1251,101,0.000596,0.000425
35561145,5158,92,1319,18,0.000607,0.000433
36684452,5190,72,1307,19,0.000607,0.000433
37541338,5198,219,1186,44,0.000584,0.000417
39513249,5212,414,1322,101,0.000605,0.000432
39549905,5216,34,1469,13,0.000628,0.000448
40594857,5237,63,2472,17,0.000801,0.000571
40765453,5246,19,1501,8,0.00063,0.000449
27280446,5248,123,1294,30,0.000609,0.000435
38638907,5254,440,1313,101,0.00061,0.000435
36845106,5261,113,1280,23,0.000599,0.000427
28870988,5264,133,1326,33,0.000608,0.000433
37736459,5270,155,1533,40,0.000627,0.000447
37665892,5270,104,1365,29,0.000603,0.00043
14259356,5274,66,1289,18,0.0006,1e-06
37808212,5275,25,1567,13,0.000354,0.000252
38858289,5279,173,1431,44,0.000623,0.000444
37807834,5280,39,1479,14,0.000624,0.000445
33354036,5285,327,1465,101,0.000629,0.000449
33256382,5308,460,1307,98,0.000608,0.000434
18482415,5308,112,1353,26,0.000606,0.000432
35755331,5312,151,1357,38,0.000609,0.000434
19508906,5315,100,1303,19,0.000609,0.000434
36509843,5336,412,1328,101,0.000609,0.000434
20803992,5346,61,1350,18,0.000608,0.000434
13979606,5351,114,1339,26,0.000606,0.000432
36215186,5366,151,1376,44,0.000605,0.000431
33155628,5368,202,1391,50,0.000606,0.000432
38129526,5406,35,1485,9,0.00062,1e-06
19646748,5407,133,1313,35,0.000611,0.000436
35585087,5414,97,1488,23,0.000624,0.000445
32775998,5421,208,1305,42,0.000606,0.000432
31921778,5424,425,1380,101,0.000612,0.000437
40810771,5435,133,1410,28,0.000623,0.000445
38220079,5450,171,1453,42,0.000628,0.000448
