id,input_length,output_length,input_tokens,output_tokens,energy_kwh,carbon_kg
38859956,5010,577,961,101,0.00056,0.000399
22131316,5016,516,1027,101,0.000561,0.0004
35826768,5020,240,1076,53,0.000566,0.000404
35858101,5020,515,1037,101,0.00057,0.000407
36373299,5022,419,1086,101,0.000573,0.000409
32371348,5029,425,1147,101,0.00058,1e-06
12570045,5040,377,1062,77,0.000466,0.000333
37581974,5054,149,1228,32,0.000593,0.000423
34956536,5061,34,1232,14,0.000186,0.000133
35339947,5063,539,1060,101,0.000576,0.000411
13017879,5074,187,988,41,0.000564,1e-06
11375357,5079,247,1075,50,0.000347,0.000247
37271465,5080,438,1049,100,0.000581,0.000414
29895786,5082,179,1147,38,0.000593,0.000423
29999399,5086,46,1253,9,0.000606,0.000432
32162021,5086,480,1081,101,0.000588,0.00042
30931445,5088,358,1114,73,0.000462,0.000329
37543638,5100,517,1053,101,0.000587,0.000419
38048885,5104,47,1155,11,0.000597,0.000426
26114379,5123,562,1087,101,0.00059,0.000421
27342757,5125,340,1061,66,0.000589,0.00042
17455067,5134,515,1115,102,0.000593,0.000423
36961338,5141,422,1108,101,0.000594,0.000424
36101150,5145,200,1049,39,0.00059,0.000421
40280345,5149,485,1139,101,0.000604,1e-06
36373851,5149,540,1124,100,0.0006,0.000428
40306937,5152,482,1083,101,0.000599,0.000428
35561145,5158,500,1121,100,0.000599,0.000427
36684452,5190,503,1070,98,0.000596,0.000425
37541338,5198,532,1037,101,0.000595,0.000425
39513249,5212,451,1139,101,0.000606,0.000432
39549905,5216,439,1248,101,0.000617,0.000441
40594857,5237,193,2111,42,0.000747,0.000533
40765453,5246,129,1291,31,0.000629,0.000449
27280446,5248,442,1115,101,0.000604,0.000431
38638907,5254,115,1142,26,0.000609,0.000434
36845106,5261,473,1053,101,0.000602,0.00043
28870988,5264,535,1101,101,0.000606,0.000432
37736459,5270,155,1295,34,0.000639,0.000456
37665892,5270,470,1160,101,0.00061,0.000435
14259356,5274,513,1097,101,0.000608,0.000434
