id,input_length,output_length,input_tokens,output_tokens,energy_kwh,carbon_kg
38859956,5010,150,1127,30,0.000557,0.000397
22131316,5016,65,1185,13,0.000553,0.000395
35826768,5020,95,1200,33,0.00056,0.0004
35858101,5020,106,1221,22,0.000565,0.000403
36373299,5022,177,1213,52,0.000567,0.000404
32371348,5029,138,1354,39,0.000591,0.000421
12570045,5040,79,1195,19,0.000567,0.000405
37581974,5054,38,1397,12,0.000604,1e-06
34956536,5061,33,1435,13,0.000604,0.000431
35339947,5063,343,1218,67,0.000581,0.000415
13017879,5074,68,1134,20,0.000571,0.000408
11375357,5079,237,1193,51,0.000576,0.000411
37271465,5080,475,1209,99,0.000578,0.000412
29895786,5082,71,1279,18,0.000587,0.000419
29999399,5086,30,1428,13,0.000606,1e-06
32162021,5086,484,1248,100,0.000585,0.000417
30931445,5088,98,1253,38,0.000591,0.000422
37543638,5100,108,1190,28,0.000583,0.000416
38048885,5104,168,1287,51,0.000604,0.000431
26114379,5123,101,1231,25,0.000587,0.000419
27342757,5125,387,1244,100,0.000594,0.000424
17455067,5134,132,1265,29,0.000599,0.000427
36961338,5141,162,1251,39,0.000596,0.000425
36101150,5145,162,1232,30,0.000598,0.000427
40280345,5149,139,1313,36,0.000615,0.000438
36373851,5149,125,1294,28,0.000614,0.000438
40306937,5152,367,1204,85,0.000591,0.000422
35561145,5158,87,1288,16,0.000613,0.000437
36684452,5190,172,1243,41,0.0006,0.000428
37541338,5198,141,1133,28,0.000591,0.000422
39513249,5212,201,1290,55,0.000617,0.00044
39549905,5216,34,1437,13,0.000628,0.000448
40594857,5237,152,2464,37,0.000804,0.000573
40765453,5246,26,1479,9,0.000635,0.000453
27280446,5248,112,1261,26,0.000609,0.000435
38638907,5254,160,1276,49,0.000608,0.000434
36845106,5261,87,1194,31,0.000594,0.000424
28870988,5264,475,1292,101,0.000619,0.000441
37736459,5270,32,1502,14,0.000638,0.000455
37665892,5270,111,1293,28,0.000616,0.000439
14259356,5274,258,1249,56,0.000604,0.000431
37808212,5275,25,1522,13,0.000638,0.000455
38858289,5279,77,1372,18,0.000625,0.000446
37807834,5280,39,1437,13,0.000625,0.000446
33354036,5285,163,1405,57,0.000625,0.000446
33256382,5308,179,1270,39,0.000607,0.000433
18482415,5308,112,1311,25,0.000619,0.000442
35755331,5312,254,1289,58,0.000618,0.000441
19508906,5315,472,1263,100,0.000607,0.000433
36509843,5336,118,1265,27,0.000604,0.000431
20803992,5346,58,1309,24,0.000618,0.000441
13979606,5351,96,1310,20,0.000615,0.000439
36215186,5366,157,1351,34,0.000623,0.000444
33155628,5368,75,1317,20,0.000617,0.00044
38129526,5406,23,1467,7,0.000631,0.00045
19646748,5407,208,1276,46,0.00061,0.000435
35585087,5414,66,1448,18,0.00063,0.00045
32775998,5421,101,1283,28,0.000623,0.000444
31921778,5424,40,1313,14,0.000624,0.000445
40810771,5435,203,1366,41,0.000629,0.000449
38220079,5450,103,1387,23,0.000631,0.00045
35416399,5456,153,1505,44,0.000643,0.000459
34136823,5460,123,1261,27,0.000608,0.000434
36934928,5476,37,1529,12,0.000638,0.000455
35728124,5480,214,1333,47,0.000623,0.000445
22588954,5481,248,1247,60,0.000603,0.00043
37672789,5486,228,1438,57,0.00063,1e-06
40760787,5492,43,1592,19,0.000662,0.000473
21577826,5502,75,1206,17,0.000603,0.00043
12533291,5528,135,1423,33,0.000625,0.000446
37576755,5543,97,1315,23,0.000619,0.000441
16237077,5557,130,1172,25,0.000593,0.000423
36607825,5582,214,1436,53,0.000628,0.000448
36882573,5607,310,1421,64,0.000627,0.000448
23487664,5626,177,1428,41,0.00063,0.00045
21457702,5631,189,1357,46,0.000625,0.000446
39123281,5640,92,1253,21,0.000603,0.000431
39135300,5641,134,1342,30,0.000622,0.000444
27475745,5648,159,1475,48,0.000635,0.000453
34541264,5651,33,1550,17,0.000654,0.000467
29027462,5659,40,1395,14,0.000634,0.000452
36896016,5670,153,1371,30,0.000634,0.000452
27771931,5670,83,1370,23,0.000637,0.000454
36703778,5677,142,1259,34,0.00061,0.000435
34972475,5689,117,1477,31,0.000639,0.000456
36046503,5690,168,1295,33,0.00033,0.000236
32131672,5695,148,1339,38,0.000624,0.000445
37630605,5697,143,1313,30,0.000618,0.000441
34560658,5734,148,1513,41,0.000639,0.000456
37604151,5741,146,1335,32,0.000623,0.000444
37282644,5743,30,1548,13,0.000652,0.000465
13569129,5753,231,1259,43,0.000606,0.000432
35801175,5760,164,1418,44,0.000629,0.000449
25019896,5775,352,1474,100,0.000635,0.000453
35559861,5778,272,1241,59,0.000605,0.000431
40300369,5787,62,1333,19,0.000622,0.000444
38185491,5857,90,1499,24,0.000638,0.000455
35001427,5858,112,1331,19,0.000625,0.000446
38753430,5877,48,1662,18,0.000672,0.000479
34964522,5894,138,1350,29,0.000628,0.000448
13037771,5897,121,1571,34,0.000654,0.000467
23237285,5899,393,1442,80,0.000631,0.00045
37651767,5934,34,1607,12,0.000667,0.000476
23283820,5936,255,1327,62,0.000625,0.000446
29345662,5938,176,1497,33,0.000637,0.000455
40760771,5981,32,1718,14,0.000673,0.00048
39415834,5986,181,1515,50,0.00064,0.000457
26948735,6024,128,1493,32,0.000636,0.000454
34998776,6047,81,1424,16,0.000631,0.00045
38232115,6063,41,1646,15,0.000675,2e-06
36875714,6071,80,1804,23,0.000695,0.000496
32950900,6077,71,1468,22,0.00064,0.000457
34217549,6100,167,1479,33,0.00064,0.000457
34994457,6104,76,1473,24,0.000634,0.000452
38365929,6111,96,1617,30,0.000665,0.000474
36370553,6117,130,1455,32,0.00063,0.000449
22762984,6126,108,1387,25,0.000631,0.00045
37808100,6146,36,1704,14,0.000676,0.000483
38843341,6158,468,1463,87,0.000637,0.000454
35483754,6182,207,1951,45,0.000732,0.000522
36327826,6209,105,1491,25,0.00064,0.000457
17614190,6226,367,1422,76,0.000628,0.000448
20476654,6258,112,1386,24,0.000631,0.00045
31365272,6263,65,1518,16,0.000637,0.000454
36716861,6274,112,1436,24,0.000626,0.000446
29160114,6276,324,1657,67,0.000666,0.000475
32570115,6281,398,1501,86,0.000633,0.000452
26198076,6298,20,1523,5,0.000646,0.000461
35412495,6334,181,1646,44,0.000669,0.000478
33159899,6335,284,1449,66,0.00063,0.000449
12431180,6343,134,1588,28,0.000659,0.00047
21468892,6352,227,1562,66,0.000654,0.000467
34789836,6364,162,1579,39,0.000658,0.000469
22763719,6373,89,1653,21,0.000302,0.000215
33365674,6386,251,1518,58,0.000641,0.000458
24616801,6386,80,1510,20,0.00064,0.000457
26966304,6425,221,1532,64,0.00064,0.000456
20803548,6430,118,1482,31,0.000635,0.000453
36732018,6453,188,1554,42,0.000657,0.000469
38756997,6484,396,1691,99,0.000666,0.000475
34384083,6509,22,1833,11,0.000686,0.00049
33025872,6601,121,1585,28,0.000654,0.000466
34768119,6668,94,1462,22,0.00063,0.000449
36200366,6691,74,1537,19,0.000656,0.000468
37987166,6710,111,1555,24,0.000656,0.000468
33567564,6720,99,1533,22,0.00064,0.000457
30546498,6755,273,1597,70,0.000656,0.000468
32956824,6766,469,1690,100,0.000668,0.000477
22765879,6771,120,1633,37,0.000671,0.000479
40244905,6782,204,1631,46,0.000671,0.000479
30520596,6829,29,1586,11,0.000658,0.00047
40410798,6861,19,1937,8,0.000726,2e-06
39075921,6924,88,1910,27,0.000703,0.000501
30722038,7015,131,1961,36,0.000725,0.000517
37882468,7065,85,1767,18,0.000679,0.000485
38727201,7093,38,1899,14,0.000707,0.000504
32912445,7128,193,1784,56,0.000684,0.000488
35748458,7252,133,1842,31,0.000695,0.000496
35500894,7291,90,1864,23,0.000698,0.000498
38025397,7305,202,1853,49,0.000689,0.000491
27575869,7312,219,1901,60,0.000699,0.000499
36240334,7320,34,1956,13,0.000728,0.00052
39149505,7327,15,2042,7,0.000736,0.000525
31037598,7365,161,1726,38,0.000679,0.000484
38502617,7398,277,1751,62,0.000687,0.00049
34534840,7474,349,1729,63,0.000675,0.000482
33551340,7493,153,1841,38,0.00069,0.000492
15949285,7518,166,1836,38,0.000686,0.000489
36602399,7585,122,1829,36,0.00069,0.000492
37318935,7641,314,1902,75,0.000701,0.0005
29478415,7652,170,1799,35,0.000688,0.000491
35095267,7673,26,1759,9,0.000684,0.000488
40018483,7728,20,2031,8,0.000735,0.000524
39984102,7739,20,2155,11,0.000737,0.000526
37459852,7765,28,2105,12,0.00074,0.000528
36014166,7766,205,2023,49,0.000729,0.00052
38059968,7797,27,2102,10,0.000742,0.000529
19341954,7822,195,1807,43,0.000427,0.000304
39875134,7840,184,1814,41,0.00069,0.000492
29802581,7869,173,1767,41,0.000682,0.000487
37420223,8024,236,2019,61,0.000727,0.000519
31922609,8118,119,1944,25,0.000721,0.000514
39949130,8132,88,2059,24,0.000353,0.000252
39677397,8189,123,2009,36,0.000731,0.000521
33408096,8263,69,2212,16,0.000761,0.000543
37393486,8405,21,2251,10,0.000787,0.000561
35566703,8448,23,2326,12,0.000806,0.000575
39941124,8486,166,1886,40,0.000517,0.000369
37982000,8515,63,2042,14,0.000753,0.000538
37670362,8534,30,2255,9,0.000804,0.000574
35654894,8622,55,2083,13,0.000765,0.000546
40012848,8676,106,1988,25,0.000755,0.000538
34097904,9081,136,2396,35,0.000823,0.000588
