id,input_length,output_length,input_tokens,output_tokens,energy_kwh,carbon_kg
38859956,5010,579,968,100,0.000849,2e-06
22131316,5016,535,1036,100,0.00051,0.000364
35826768,5020,514,1100,100,0.000519,0.000371
35858101,5020,554,1041,100,0.000523,0.000373
36373299,5022,505,1130,100,0.000532,1e-06
32371348,5029,466,1216,100,0.000548,0.000391
12570045,5040,513,1065,100,0.000532,0.00038
37581974,5054,453,1232,101,0.00056,0.000399
34956536,5061,460,1239,101,0.000566,0.000404
35339947,5063,533,1080,100,0.000541,0.000386
13017879,5074,539,1008,100,0.000543,0.000387
11375357,5079,497,1085,100,0.00055,0.000392
37271465,5080,534,1055,100,0.000548,0.000391
29895786,5082,457,1160,101,0.000569,0.000406
29999399,5086,396,1257,91,0.000547,0.00039
32162021,5086,568,1145,100,0.000566,0.000404
30931445,5088,441,1126,100,0.00057,0.000406
37543638,5100,532,1055,100,0.000566,0.000404
38048885,5104,151,1172,37,0.000296,1e-06
26114379,5123,553,1091,100,0.000573,1e-06
27342757,5125,462,1092,100,0.000573,0.000409
17455067,5134,494,1131,101,0.000575,0.00041
36961338,5141,460,1135,100,0.000575,0.000411
36101150,5145,349,1062,68,0.000421,0.0003
40280345,5149,535,1148,94,0.000548,0.000391
36373851,5149,458,1139,100,0.000568,0.000405
40306937,5152,434,1094,100,0.000565,0.000403
35561145,5158,466,1150,100,0.000569,0.000406
36684452,5190,534,1089,100,0.000569,0.000406
37541338,5198,524,1053,100,0.000566,0.000404
39513249,5212,450,1180,100,0.000586,0.000418
39549905,5216,493,1250,100,0.000595,0.000424
40594857,5237,505,2129,101,0.000702,0.000501
40765453,5246,401,1300,88,0.000545,0.000389
27280446,5248,143,1125,32,0.000253,0.00018
38638907,5254,485,1151,101,0.000572,0.000408
36845106,5261,458,1098,101,0.000566,0.000404
28870988,5264,549,1144,100,0.000569,0.000406
37736459,5270,288,1304,65,0.000431,0.000308
37665892,5270,190,1176,46,0.000336,0.00024
14259356,5274,454,1101,95,0.000546,0.000389
37808212,5275,455,1327,102,0.000599,0.000427
38858289,5279,479,1202,100,0.000589,0.00042
37807834,5280,367,1313,84,0.000531,0.000379
33354036,5285,468,1212,100,0.00059,0.000421
33256382,5308,559,1093,100,0.000572,0.000408
18482415,5308,440,1152,100,0.000574,0.00041
35755331,5312,545,1124,100,0.00057,1e-06
19508906,5315,539,1116,101,0.000569,0.000406
36509843,5336,501,1125,101,0.000569,0.000406
20803992,5346,509,1174,100,0.000582,0.000415
13979606,5351,474,1153,100,0.000581,0.000415
36215186,5366,477,1225,100,0.000595,0.000425
33155628,5368,514,1171,101,0.000582,0.000415
38129526,5406,434,1274,100,0.000593,0.000423
19646748,5407,526,1116,100,0.000567,0.000405
35585087,5414,469,1306,100,0.000589,0.00042
32775998,5421,520,1181,100,0.000575,0.00041
31921778,5424,456,1192,100,0.00057,0.000407
40810771,5435,517,1219,100,0.00058,0.000414
38220079,5450,413,1252,100,0.000588,0.000419
35416399,5456,434,1333,93,0.000562,0.000401
34136823,5460,547,1126,101,0.000569,0.000406
36934928,5476,406,1352,100,0.000599,0.000427
35728124,5480,435,1149,90,0.000526,0.000375
22588954,5481,533,1107,100,0.000562,0.000401
37672789,5486,278,1300,63,0.000415,0.000296
40760787,5492,451,1366,100,0.000595,0.000425
21577826,5502,548,1074,100,0.000559,0.000399
12533291,5528,452,1257,100,0.000587,0.000419
37576755,5543,463,1168,88,0.000528,0.000377
16237077,5557,557,1058,100,0.000564,0.000403
36607825,5582,426,1311,101,0.000597,0.000426
36882573,5607,544,1282,100,0.000593,0.000423
23487664,5626,484,1298,100,0.000598,0.000427
21457702,5631,551,1204,100,0.000587,0.000419
39123281,5640,568,1118,100,0.000572,0.000408
